                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A1.  Foreign Holdings of U.S. Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2013            2014            2015            2016            2017            2018            2019            2020
  Afghanistan                                          1               1               1               1               1               2               2               1
  Albania                                              1               1               *               *               *               *               *               *
  Algeria                                              1               1               1               1               1               1               1               1
  Andorra                                              2               2               2               3               2               2               2               2
  Angola                                               1               1               1               1               1               1               3               2
  Anguilla                                            23              17              20              18              17               3               6               7
  Antigua and Barbuda                                  *               *               *               *               *               *               *               1
  Argentina                                            8               8               7               7               7              11              19              13
  Armenia                                              *               *               *               *               1               1               1               1
  Aruba                                                2               1               1               1               1               1               1               1
  Australia                                          215             238             242             237             271             303             344             352
  Austria                                             13              16              18              19              20              23              28              24
  Azerbaijan                                           5               8               8               7               7               8               7              11
  Bahamas                                             29              33              37              42              52              36              39              65
  Bahrain                                              3               3               3               2               2               2               2               2
  Bangladesh                                           1               1               1               *               1               1               1               1
  Barbados                                            13              13              16              23              24              21              13              12
  Belarus                                              *               *               *               *               *               *               *               *
  Belgium                                            490             713             602             589             691             739             780             852
  Belize                                               *               1               1               1               1               1               1               1
  Benin                                                *               *               *               *               *               *               *               *
  Bermuda                                            325             301             287             307             318             317             349             367
  Bhutan                                               *               *               *               *               *               *               *               *
  Bolivia                                              1               3               3               2               2               2               3               2
  Bonaire, Sint Eustatius & Saba (1)                n.a.               *               *               *               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               *
  Botswana                                             2               2               2               2               2               2               2               1
  Brazil                                             261             263             268             259             277             310             322             276
  British Indian Ocean Territory                       *               *               *               *               *               *               *               *
  British Virgin Islands                             139             176             173             161             166             175             178             170
  Brunei                                               3               4               3               3               5               6               4               5
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burkina Faso                                         *               *               *               *               *               *               *               *
  Burma                                                *               *               *               *               *               *               *               *
  Burundi                                              *               *               *               *               *               *               *               *
  Cambodia                                             1               *               2               2               2               2               2               5
