                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A3.  Foreign Holdings of U.S. Long-Term Debt Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2013            2014            2015            2016            2017            2018            2019            2020
  Afghanistan                                          1               1               1               1               1               2               2               1
  Albania                                              1               1               *               *               *               *               *               *
  Algeria                                              *               *               *               *               *               *               *               *
  Andorra                                              1               1               1               1               1               1               1               1
  Angola                                               *               *               1               *               *               1               2               1
  Anguilla                                             2               *               *               *               *               *               *               1
  Antigua and Barbuda                                  *               *               *               *               *               *               *               *
  Argentina                                            3               3               2               2               2               4               7               3
  Armenia                                              *               *               *               *               1               1               1               1
  Aruba                                                1               1               1               1               1               1               1               1
  Australia                                           49              55              56              58              69              70              74              75
  Austria                                              6               7               9              10               9               8               7               7
  Azerbaijan                                           4               7               7               6               5               5               5               8
  Bahamas                                              9               8              12              21              25              11              11              33
  Bahrain                                              2               1               1               1               1               1               *               *
  Bangladesh                                           *               *               *               *               *               *               *               *
  Barbados                                             9               8              13              21              22              19              10              10
  Belarus                                              *               *               *               *               *               *               *               *
  Belgium                                            448             666             555             497             638             654             695             747
  Belize                                               *               *               *               *               *               *               *               *
  Benin                                                *               *               0               *               *               *               *               *
  Bermuda                                            225             184             175             193             199             193             213             223
  Bhutan                                               0               0               0               0               *               *               *               *
  Bolivia                                              *               1               1               *               1               1               1               *
  Bonaire, Sint Eustatius & Saba (1)                n.a.               *               *               *               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               *
  Botswana                                             1               2               2               2               1               1               1               1
  Brazil                                             237             229             239             240             253             297             313             253
  British Indian Ocean Territory                       *               *               *               0               *               *               *               *
  British Virgin Islands                              27              31              38              41              43              48              52              56
  Brunei                                               1               1               1               1               1               1               1               2
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burkina Faso                                         *               0               *               0               0               0               0               0
  Burma                                                *               *               *               *               *               *               *               *
  Burundi                                              *               *               0               0               0               0               0               0
