                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as
of June 30, 2020
 Millions of dollars
                                                                                                  Debt (LT = long-term; ST = short-term)
                                                   Total                           LT              LT               LT              LT
 Countries and Regions                          (LT and ST)     Equities          Total         Treasury         Agency            Corp            ST
  Afghanistan                                            1408               7            1400            1400               0               *               0
  Albania                                                 481               6             475             475               0               0               0
  Algeria                                                 721              41               *               0               0               *             680
  Andorra                                                1702             856             823             325               0             498              23
  Angola                                                 1701             231            1471            1365               0             106               0
  Anguilla                                               7072            6506             558              85              13             460               8
  Antigua and Barbuda                                     647             189             320             248              38              34             138
  Argentina                                             13158            6867            2533             902              18            1613            3757
  Armenia                                                1008               9             803             803               0               0             195
  Aruba                                                  1133             377             699              87             131             481              58
  Australia                                            352442          266664           74531           32831            4234           37465           11248
  Austria                                               23878           16137            6813            3504             297            3012             928
  Azerbaijan                                            11342            2365            7851            6800              37            1014            1126
  Bahamas                                               64877           27053           33384            4135           14709           14540            4440
  Bahrain                                                2354             893             178              90               4              83            1283
  Bangladesh                                             1006               6               1               0               0               1            1000
  Barbados                                              12317            1230           10276             897             556            8823             811
  Belarus                                                 151              25             126             126               0               0               0
  Belgium                                              851968           58885          746847          174685            7201          564961           46236
  Belize                                                 1103             662             284              26               1             257             158
  Benin                                                     1               1               *               0               0               *               0
  Bermuda                                              367042          110660          223187           39116           27458          156612           33196
  Bhutan                                                   42              28              14               5               0               9               0
  Bolivia                                                1769             343             442              99               1             342             985
  Bonaire, Sint Eustatius & Saba (1)                       45              15              30               0               0              30               0
  Bosnia and Herzegovina                                    9               6               3               0               0               3               0
  Botswana                                               1415             282            1120             646              44             430              12
  Brazil                                               276211            7571          252783          248336            3478             969           15857
  British Indian Ocean Territory                           13               5               9               1               0               8               0
  British Virgin Islands                               169832          105613           56251           30573            1721           23957            7968
  Brunei                                                 5345            2481            2438            1825               0             613             426
  Bulgaria                                                473             356              95              67               1              27              21
  Burkina Faso                                             14              14               0               0               0               0               0
  Burma                                                   166               3             161             161               *               0               2
  Burundi                                                   *               *               0               0               0               0               0
  Cambodia                                               4933               9            4924            4736               1             187               0
  Cameroon                                                  1               1               0               0               0               0               0
  Canada                                              1334754          971346          334873          101795           22991          210088           28536
  Cape Verde                                              319             209              85              85               0               *              25
  Cayman Islands                                      1903398         1059356          719977          114119           38663          567196          124064
  Central African Republic                                  *               *               0               0               0               0               0
  Chad                                                      *               *               0               0               0               0               0
  Chile                                                 59071           23092           27553           23817             617            3119            8425
  China, mainland (2)                                 1569117          233308         1301479         1040391          238486           22602           34330
  Colombia                                              47387           13628           31918           28011            2060            1847            1841
  Comoros                                                   5               5               0               0               0               0               0
  Congo (Brazzaville)                                       2               2               *               0               0               *               0
  Congo (Kinshasa)                                         57               1              56               0               0              56               0
  Cook Islands                                            400             368              30               4               0              26               1
  Costa Rica                                             4264            1980            2175            1357              61             756             109
  Cote d`Ivoire (Ivory Coast)                               5               5               0               0               0               0               0
  Croatia                                                2585             685            1489            1470               0              19             411
  Cuba                                                      *               *               0               0               0               0               0
  Curacao (1)                                            6880            3939            2124             391             521            1212             817
  Cyprus                                                 2359            2021             278              90               *             188              61
  Czech Republic                                        31673            5077           25005           23576            1388              41            1591
  Denmark                                              157484          115132           38693           13990             199           24505            3659
  Djibouti                                                  1               1               0               0               0               0               0
  Dominica                                                186              64             119              89              14              16               3
  Dominican Republic                                     3514             489            2972            2682               4             286              53
  East Timor                                            11975            3931            8043            8043               0               0               0
  Ecuador                                                1672             673             541             154              36             351             459
  Egypt                                                 20065            3085            2406            2346              40              20           14574
  El Salvador                                            1633             308             775             611               9             154             550
  Equatorial Guinea                                         1               1               *               0               0               *               0
  Eritrea                                                   *               *               0               0               0               0               0
  Estonia                                                1230             778             334             238              11              86             118
  Ethiopia                                                  5               5               0               0               0               0               0
  Falkland Islands                                         51              49               2               0               0               2               0
  Faroe Islands                                             *               *               0               0               0               0               0
  Federated States of Micronesia                          156              78              78              32              15              31               0
  Fiji                                                     40               3               7               0               7               *              30
  Finland                                               47907           36264           11089            5040               1            6048             554
  France                                               399418          191537          183194          118983            2979           61232           24686
  French Guiana                                            12              10               2               0               0               2               0
  French Polynesia                                         17              14               1               *               *               1               2
  Gabon                                                    82              39              41               1               0              40               3
  Gambia                                                   30               1               0               0               0               0              29
  Georgia                                                   7               7               *               0               0               *               0
  Germany                                              421098          209594          199128           67359            4717          127053           12375
  Ghana                                                  3620              17            3375            3309               0              65             228
  Gibraltar                                               955             217             354              15               1             339             384
  Greece                                                 5029            2306            2001            1791               5             204             722
  Greenland                                                 *               *               0               0               0               0               0
  Grenada                                                 295              78             212             164              26              23               5
  Guadeloupe (1)                                           16              16               *               0               0               *               0
  Guatemala                                             10795             413            9995            6974            2442             580             387
  Guernsey                                              52790           39610           11482            5551              29            5903            1698
  Guinea                                                   31              31               0               0               0               0               0
  Guyana                                                  224              32             192               7             178               7               0
  Haiti                                                  1646             307            1332             203             182             946               7
  Holy See (Vatican)                                       26               2              24              12               0              12               0
  Honduras                                               2791             328            2448            2368              11              69              15
  Hong Kong                                            455163          125738          302766          235710           16344           50713           26659
  Hungary                                                5288            1098            3306             771            2494              41             884
  Iceland                                                3403            1430            1821            1799              21               2             151
  India                                                188582            5544          151746          151403             124             220           31291
  Indonesia                                             31142             382           28816           20074            5510            3232            1944
  Iran                                                      3               3               0               0               0               0               0
  Iraq                                                  31637              47           13221           13221               0               0           18369
  Ireland                                             1182064          517029          470323          200828           28277          241217          194713
  Isle of Man                                            2501            1201            1057             863              14             181             243
  Israel                                               138451           79624           52387           41250            4152            6985            6439
  Italy                                                106575           45167           58446           39337            1552           17557            2962
  Jamaica                                                1270             253             958             624               2             332              59
  Japan                                               2552878          666864         1814731         1193908          308550          312274           71282
  Jersey                                                23908           16960            6012            1901             462            3649             936
  Jordan                                                  832              81             749             744               0               5               2
  Kazakhstan                                             6261              97             688              81             117             489            5476
  Kenya                                                  5882             200            5682            5677               0               5               *
  Kiribati                                                359             359               0               0               0               0               0
  Korea, South                                         414295          186860          219662          117988           39112           62562            7772
  Kosovo (1)                                                3               3               1               0               0               1               0
  Kuwait                                               303939          211488           65477           35082            6563           23831           26974
  Kyrgyzstan                                                5               *               5               5               0               0               0
  Laos                                                      2               2               0               0               0               0               0
  Latvia                                                 2101             392            1525             178             914             434             183
  Lebanon                                                 220             197              18               2               *              15               6
  Lesotho                                                  56               0              44              44               0               0              12
  Liberia                                                 851             611             217              58               6             153              24
  Libya                                                  2427              28            2050            2050               0               0             350
  Liechtenstein                                          9117            8148             929             212               8             710              40
  Lithuania                                              2112              45            1977            1970               *               7              90
  Luxembourg                                          1777434          730769          916510          181964           40290          694256          130155
  Macau                                                  5417            2371            2962            1322             266            1374              85
  Macedonia                                               105               1               1               0               0               1             103
  Madagascar                                              870              12             858             858               0               0               *
  Malawi                                                   56               4              52              50               0               2               0
  Malaysia                                              54879           19032           35756           12777           20388            2591              91
  Maldives                                                  2               *               2               2               0               0               0
  Mali                                                      1               1               0               0               0               0               0
  Malta                                                  2662            1353            1235             271               8             956              74
  Marshall Islands                                       1015             743             219              11               5             203              53
  Martinique                                                1               *               *               0               0               *               0
  Mauritania                                              197               *             197             197               0               0               *
  Mauritius                                              2721             525            1466             619              10             837             730
  Mexico                                                91083           28196           49158           34246           10592            4319           13729
  Moldova                                                1174               7            1164            1164               0               0               3
  Monaco                                                 2222            1416             660             393              15             252             146
  Mongolia                                                280               1             279             279               0               0               0
  Montenegro (1)                                            2               2               0               0               0               0               0
  Montserrat                                               39               5              33              27               4               1               1
  Morocco                                                5321            1103            4199            4187               *              12              18
  Mozambique                                              409              12             373             354               *              19              24
  Namibia                                                 277             235              42              41               0               *               1
  Nauru                                                    26              26               0               0               0               0               0
  Nepal                                                   309               8             151             151               0               0             150
  Netherlands                                          425476          263603          158805           67301           13447           78057            3068
  New Caledonia                                            14              14               *               0               0               *               0
  New Zealand                                           41952           29749            9401            5544             487            3371            2801
  Nicaragua                                               219              57             160              26              26             108               3
  Niger                                                     1               1               0               0               0               0               0
  Nigeria                                                5241             110            5032            4307             600             125              99
  Norway                                               467491          325253          141244           88448             383           52412             995
  Oman                                                  15491            6794            8432            5857              15            2560             264
  Pakistan                                               1041              58             487             459               *              28             497
  Palau                                                   225             150              75               8              18              49               0
  Panama                                                26196           14078            9153            1560            1071            6523            2965
  Papua New Guinea                                        172               1              41              41               0               0             130
  Paraguay                                               2508             200            2288            2218               4              66              20
  Peru                                                  30118            7984           21329           20040               5            1284             805
  Philippines                                           48285            3299           42040           41087              72             881            2945
  Pitcairn Island                                           *               *               0               0               0               0               0
  Poland                                                42347            1194           31356           29858               *            1499            9796
  Portugal                                              12083            6055            5425            4452               3             970             602
  Qatar                                                 42464           16663            5532            4657             373             502           20269
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                                7316             169            5189            4895               *             294            1959
  Russia                                                 6483             487            2995            2869               *             126            3001
  Rwanda                                                  316               *             316             316               0               0               0
  Saint Helena                                              *               *               0               0               0               0               0
  Saint Kitts and Nevis                                  7645            6120            1401             235              50            1116             124
  Saint Lucia                                             779             301             466             198              31             238              12
  Saint Martin & Saint Barthelemy (1)                      29              29               1               *               0               *               *
  Saint Vincent and the Grenadines                        226              66             156             126              20              11               4
  Samoa                                                   333             313              19               0               1              18               0
  San Marino                                               19               *              19               0               0              19               0
  Sao Tome and Principe                                     4               4               0               0               0               0               0
  Saudi Arabia                                         279136          132650          110969           89480            2818           18671           35517
  Senegal                                                   5               5               0               0               0               0               0
  Serbia and Montenegro (1)                              1733              15            1688            1688               0               *              30
  Seychelles                                              451             266             185             159               1              25               *
  Sierra Leone                                             91               1               0               0               0               0              90
  Singapore                                            376986          168872          186920          139141            5373           42406           21194
  Sint Maarten (1)                                        109              78              31               9               4              18               1
  Slovakia                                                384              46             169             146               1              22             169
  Slovenia                                               2478            1444             947             358               *             589              88
  Solomon Islands                                           5               *               5               5               0               0               0
  Somalia                                                   *               *               0               0               0               0               0
  South Africa                                          26056           12460            9997            8629             697             671            3599
  Spain                                                 72358           23348           46064           40956            1190            3917            2946
  Sri Lanka                                              2536              31            2505            2505               0               *               *
  Sudan                                                     *               *               0               0               0               0               *
  Suriname                                                310              96             202              22             112              68              12
  Swaziland                                                49               1              48              48               0               0               0
  Sweden                                               237811          193666           43601           37786              98            5717             544
  Switzerland                                          854190          496218          322652          214442            9599           98612           35320
  Syria                                                     3               3               0               0               0               0               0
  Taiwan                                               699330           78999          614296          200014          267630          146652            6035
  Tajikistan                                               53               *              53              53               0               0               0
  Tanzania                                               1870              15            1848            1842               0               6               7
  Thailand                                             110677           15922           83241           74008            6295            2938           11514
  Togo                                                      2               1               1               0               0               1               0
  Tokelau                                                   *               *               0               0               0               0               0
  Tonga                                                     *               *               0               0               0               0               0
  Trinidad and Tobago                                   10191            3433            5905            2011             947            2946             854
  Tunisia                                                1415            1113             301             300               0               1               2
  Turkey                                                 3483             794            2114            2067               8              38             575
  Turkmenistan                                              *               *               0               0               0               0               0
  Turks and Caicos Islands                               1190             772             391              94              49             248              27
  Tuvalu                                                    *               *               0               0               0               0               0
  Uganda                                                 1201              22             623             474              63              86             555
  Ukraine                                                5843              39            5793            5664               2             127              10
  United Arab Emirates                                 162236          126616           24767           15303            1359            8104           10853
  United Kingdom                                      1987613         1018607          890530          369792           42579          478159           78476
  Uruguay                                               14173            2917            5623            3869             637            1116            5634
  Uzbekistan                                                1               1               *               0               0               *               0
  Vanuatu                                                  24               3               7               7               0               0              13
  Venezuela                                              5413            3243            2060              73              30            1956             110
  Vietnam                                               30392              51           30339           30335               *               4               1
  West Bank and Gaza                                        *               *               0               0               0               0               0
  Yemen                                                     1               1               *               *               0               *               0
  Zambia                                                  144               2             142             140               0               1               0
  Zimbabwe                                                  6               5               1               *               0               1               0
  International and regional organizations             100134            9479           61209           45257            4962           10991           29446
  Country Unknown                                       76439            1052           75377              54              41           75282               9

  Total                                              21953684         9167557        11558608         6005340         1222537         4330730         1227519

  of which: Holdings of foreign official
  institutions                                        6309641         1246137         4649079         3762958          686071          200050          414425

  Totals by Region:
  Total Africa                                          83998           20710           42226           38101            1461            2664           21062
  Total Asia                                          7542955         2088870         5116890         3483409          923436          710045          337196
  Total Caribbean                                     2560378         1326948         1060782          196116           85141          779525          172648
  Total Europe                                        9267672         4337934         4361213         1727409          158346         2475457          568525
  Total Latin America                                  590160          112727          421614          374715           21391           25508           55819
  Canada                                              1334754          971346          334873          101795           22991          210088           28536
