                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security
Type, as of June 30, 2020
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Afghanistan                                            1408               7            1400               0               0               *               0
  Albania                                                 481               6             475               0               0               0               0
  Algeria                                                  41              41               0               0               0               *               0
  Andorra                                                1679             856             325               0               0             498               *
  Angola                                                 1701             231            1365               0               0             106               0
  Anguilla                                               7065            6506              85               3              10             238             223
  Antigua and Barbuda                                     509             189             248              10              29              33               *
  Argentina                                              9401            6867             902               5              13            1612               1
  Armenia                                                 813               9             803               0               0               0               0
  Aruba                                                  1076             377              87              75              56             281             200
  Australia                                            341194          266664           32831             144            4090           32631            4834
  Austria                                               22950           16137            3504               8             289            2977              36
  Azerbaijan                                            10216            2365            6800              37               0            1014               0
  Bahamas                                               60437           27053            4135             234           14475            7967            6573
  Bahrain                                                1071             893              90               1               4              74               9
  Bangladesh                                                6               6               0               0               0               1               0
  Barbados                                              11506            1230             897             199             357            5743            3080
  Belarus                                                 151              25             126               0               0               0               0
  Belgium                                              805732           58885          174685            2831            4370          548511           16450
  Belize                                                  946             662              26               1               1             256               *
  Benin                                                     1               1               0               0               0               *               0
  Bermuda                                              333846          110660           39116            2362           25096          131643           24969
  Bhutan                                                   42              28               5               0               0               9               0
  Bolivia                                                 784             343              99               *               1             341               *
  Bonaire, Sint Eustatius & Saba (1)                       45              15               0               0               0              30               0
  Bosnia and Herzegovina                                    9               6               0               0               0               3               0
  Botswana                                               1403             282             646               1              42             348              82
  Brazil                                               260354            7571          248336            3453              26             964               5
  British Indian Ocean Territory                           13               5               1               0               0               8               0
  British Virgin Islands                               161864          105613           30573              78            1643           21858            2099
  Brunei                                                 4919            2481            1825               0               0             513             100
  Bulgaria                                                452             356              67               0               1              27               0
  Burkina Faso                                             14              14               0               0               0               0               0
  Burma                                                   164               3             161               0               *               0               0
  Burundi                                                   *               *               0               0               0               0               0
  Cambodia                                               4933               9            4736               1               0             187               0
  Cameroon                                                  1               1               0               0               0               0               0
  Canada                                              1306219          971346          101795            1325           21666          179075           31012
  Cape Verde                                              294             209              85               0               0               *               0
  Cayman Islands                                      1779333         1059356          114119            8975           29688          491172           76023
  Central African Republic                                  *               *               0               0               0               0               0
  Chad                                                      *               *               0               0               0               0               0
  Chile                                                 50645           23092           23817              28             589            3110              10
  China, mainland (2)                                 1534787          233308         1040391            6317          232169           18421            4181
  Colombia                                              45546           13628           28011             650            1410            1792              55
  Comoros                                                   5               5               0               0               0               0               0
  Congo (Brazzaville)                                       2               2               0               0               0               *               0
  Congo (Kinshasa)                                         57               1               0               0               0              56               0
  Cook Islands                                            398             368               4               0               0              22               4
  Costa Rica                                             4155            1980            1357              58               2             755               1
  Cote d`Ivoire (Ivory Coast)                               5               5               0               0               0               0               0
  Croatia                                                2174             685            1470               0               0              19               0
  Cuba                                                      *               *               0               0               0               0               0
  Curacao (1)                                            6063            3939             391             127             394            1202               9
  Cyprus                                                 2299            2021              90               *               0             187               2
  Czech Republic                                        30082            5077           23576               6            1382              37               4
  Denmark                                              153825          115132           13990              34             165           24224             281
  Djibouti                                                  1               1               0               0               0               0               0
  Dominica                                                183              64              89               3              11              15               0
  Dominican Republic                                     3461             489            2682               1               3             285               1
  East Timor                                            11975            3931            8043               0               0               0               0
  Ecuador                                                1214             673             154              27               9             351               *
  Egypt                                                  5491            3085            2346               *              40              19               1
  El Salvador                                            1083             308             611               *               9             154               *
  Equatorial Guinea                                         1               1               0               0               0               *               0
  Eritrea                                                   *               *               0               0               0               0               0
  Estonia                                                1112             778             238               3               8              86               0
  Ethiopia                                                  5               5               0               0               0               0               0
  Falkland Islands                                         51              49               0               0               0               1               *
  Faroe Islands                                             *               *               0               0               0               0               0
  Federated States of Micronesia                          156              78              32              14               1              31               0
  Fiji                                                     10               3               0               7               0               *               0
  Finland                                               47353           36264            5040               1               *            6045               3
  France                                               374732          191537          118983             613            2366           57471            3761
  French Guiana                                            12              10               0               0               0               2               0
  French Polynesia                                         15              14               *               *               *               1               0
  Gabon                                                    80              39               1               0               0              40               0
  Gambia                                                    1               1               0               0               0               0               0
  Georgia                                                   7               7               0               0               0               *               0
  Germany                                              408723          209594           67359              91            4626          115046           12007
  Ghana                                                  3392              17            3309               0               0              65               0
  Gibraltar                                               571             217              15               1               0             339               0
  Greece                                                 4307            2306            1791               3               2             204               *
  Greenland                                                 *               *               0               0               0               0               0
  Grenada                                                 290              78             164               6              19              23               0
  Guadeloupe (1)                                           16              16               0               0               0               *               0
  Guatemala                                             10408             413            6974             476            1966             576               4
  Guernsey                                              51093           39610            5551              26               3            5811              91
  Guinea                                                   31              31               0               0               0               0               0
  Guyana                                                  224              32               7             178               *               7               *
  Haiti                                                  1639             307             203             182               *             945               1
  Holy See (Vatican)                                       26               2              12               0               0              12               0
  Honduras                                               2776             328            2368              11               *              69               *
  Hong Kong                                            428504          125738          235710            2357           13987           48371            2341
  Hungary                                                4403            1098             771              13            2481              36               5
  Iceland                                                3252            1430            1799              21               0               2               0
  India                                                157290            5544          151403              10             114             220               *
  Indonesia                                             29198             382           20074              19            5490            3164              68
  Iran                                                      3               3               0               0               0               0               0
  Iraq                                                  13268              47           13221               0               0               0               0
  Ireland                                              987351          517029          200828            2889           25388          214197           27020
  Isle of Man                                            2259            1201             863              14               *             181               *
  Israel                                               132011           79624           41250             440            3712            6756             230
  Italy                                                103613           45167           39337             252            1300           17487              70
  Jamaica                                                1211             253             624               2               0             332               0
  Japan                                               2481596          666864         1193908            2930          305620          284037           28237
  Jersey                                                22973           16960            1901               4             458            3231             418
  Jordan                                                  830              81             744               0               0               5               0
  Kazakhstan                                              785              97              81             117               *             489               0
  Kenya                                                  5882             200            5677               0               0               5               0
  Kiribati                                                359             359               0               0               0               0               0
  Korea, South                                         406523          186860          117988            4759           34353           59622            2940
  Kosovo (1)                                                3               3               0               0               0               1               0
  Kuwait                                               276965          211488           35082             168            6395           21352            2480
  Kyrgyzstan                                                5               *               5               0               0               0               0
  Laos                                                      2               2               0               0               0               0               0
  Latvia                                                 1918             392             178              16             898               8             425
  Lebanon                                                 215             197               2               0               *              15               0
  Lesotho                                                  44               0              44               0               0               0               0
  Liberia                                                 828             611              58               4               2             141              12
  Libya                                                  2077              28            2050               0               0               0               0
  Liechtenstein                                          9077            8148             212               8               *             708               2
  Lithuania                                              2021              45            1970               *               0               7               0
  Luxembourg                                          1647279          730769          181964            4995           35294          665707           28549
  Macau                                                  5333            2371            1322               *             266            1230             143
  Macedonia                                                 2               1               0               0               0               1               0
  Madagascar                                              870              12             858               0               0               0               0
  Malawi                                                   56               4              50               0               0               2               0
  Malaysia                                              54788           19032           12777             438           19949            2512              80
  Maldives                                                  2               *               2               0               0               0               0
  Mali                                                      1               1               0               0               0               0               0
  Malta                                                  2588            1353             271               8               *             953               3
  Marshall Islands                                        962             743              11               3               2             202               1
  Martinique                                                1               *               0               0               0               *               0
  Mauritania                                              197               *             197               0               0               0               0
  Mauritius                                              1991             525             619               *               9             824              13
  Mexico                                                77354           28196           34246            4211            6382            4231              88
  Moldova                                                1171               7            1164               0               0               0               0
  Monaco                                                 2076            1416             393               0              15              49             203
  Mongolia                                                280               1             279               0               0               0               0
  Montenegro (1)                                            2               2               0               0               0               0               0
  Montserrat                                               38               5              27               1               3               1               0
  Morocco                                                5303            1103            4187               *               0              12               0
  Mozambique                                              385              12             354               *               0              19               0
  Namibia                                                 276             235              41               0               0               *               0
  Nauru                                                    26              26               0               0               0               0               0
  Nepal                                                   159               8             151               0               0               0               0
  Netherlands                                          422408          263603           67301              96           13352           75477            2580
  New Caledonia                                            14              14               0               0               0               *               0
  New Zealand                                           39151           29749            5544              25             461            3213             157
  Nicaragua                                               217              57              26              26               0             108               0
  Niger                                                     1               1               0               0               0               0               0
  Nigeria                                                5142             110            4307             295             306             122               3
  Norway                                               466497          325253           88448             361              22           52164             248
  Oman                                                  15227            6794            5857               1              15            2538              22
  Pakistan                                                544              58             459               *               0              28               0
  Palau                                                   225             150               8              17               1              48               *
  Panama                                                23230           14078            1560              48            1022            6208             315
  Papua New Guinea                                         42               1              41               0               0               0               0
  Paraguay                                               2488             200            2218               4               *              66               0
  Peru                                                  29313            7984           20040               2               3            1284               *
  Philippines                                           45340            3299           41087              27              46             880               *
  Pitcairn Island                                           *               *               0               0               0               0               0
  Poland                                                32551            1194           29858               0               *            1499               0
  Portugal                                              11480            6055            4452               1               1             968               3
  Qatar                                                 22196           16663            4657               0             373             385             117
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                                5357             169            4895               *               0             293               *
  Russia                                                 3483             487            2869               *               0             126               *
  Rwanda                                                  316               *             316               0               0               0               0
  Saint Helena                                              *               *               0               0               0               0               0
  Saint Kitts and Nevis                                  7521            6120             235              16              34            1077              39
  Saint Lucia                                             767             301             198               8              23             238               *
  Saint Martin & Saint Barthelemy (1)                      29              29               *               0               0               *               0
  Saint Vincent and the Grenadines                        223              66             126               5              15              11               *
  Samoa                                                   333             313               0               1               0              18               *
  San Marino                                               19               *               0               0               0              19               0
  Sao Tome and Principe                                     4               4               0               0               0               0               0
  Saudi Arabia                                         243619          132650           89480             438            2380           16559            2112
  Senegal                                                   5               5               0               0               0               0               0
  Serbia and Montenegro (1)                              1703              15            1688               0               0               *               0
  Seychelles                                              451             266             159               0               1              25               *
  Sierra Leone                                              1               1               0               0               0               0               0
  Singapore                                            355792          168872          139141            1445            3929           35063            7343
  Sint Maarten (1)                                        108              78               9               1               3              17               *
  Slovakia                                                215              46             146               1               0              22               0
  Slovenia                                               2391            1444             358               *               0             589               0
  Solomon Islands                                           5               *               5               0               0               0               0
