                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A7.  Foreign Holdings of U.S. Treasury Securities, by Country and
Type of Treasury Security, as of June 30, 2020
 Millions of dollars
                                                                                    Treasury LT debt**
                                                                                of which:        of which:       of which:       Treasury
 Countries and Regions                           Total           Total           Nominal           TIPS             FRN          ST debt**
  Afghanistan                                            1400            1400            1400               0               0               0
  Albania                                                 475             475             475               0               0               0
  Algeria                                                 680               0               0               0               0             680
  Andorra                                                 349             325             304              22               0              23
  Angola                                                 1365            1365            1359               6               0               0
  Anguilla                                                 92              85              85               *               0               6
  Antigua and Barbuda                                     380             248             248               *               0             133
  Argentina                                              4570             902             758             142               1            3669
  Armenia                                                 998             803             803               0               0             195
  Aruba                                                   104              87              74              13               *              16
  Australia                                             42860           32831           30518            1687             626           10028
  Austria                                                4432            3504            3293             208               3             928
  Azerbaijan                                             7405            6800            6797               3               0             605
  Bahamas                                                8191            4135            3898             215              23            4056
  Bahrain                                                1373              90              82               8               0            1283
  Bangladesh                                             1000               0               0               0               0            1000
  Barbados                                               1683             897             893               4               0             785
  Belarus                                                 126             126             126               0               0               0
  Belgium                                              217835          174685          162539           11385             761           43150
  Belize                                                  176              26              24               1               *             150
  Bermuda                                               70769           39116           36816            1627             673           31652
  Bhutan                                                    5               5               5               0               0               0
  Bolivia                                                 161              99              97               2               0              61
  Botswana                                                657             646             623              23               0              11
  Brazil                                               264019          248336          217006           30864             466           15683
  British Indian Ocean Territory                            1               1               0               1               0               0
  British Virgin Islands                                37855           30573           26860            3679              35            7281
  Brunei                                                 2251            1825            1086             739               0             426
  Bulgaria                                                 88              67              67               *               0              21
  Burma                                                   163             161             161               0               0               2
  Cambodia                                               4736            4736            4723              13               0               0
  Canada                                               127437          101795           92384            8615             796           25643
  Cape Verde                                              110              85              80               0               5              25
  Cayman Islands                                       230011          114119           69849           39766            4503          115892
  Chile                                                 29535           23817           19774            3929             114            5719
  China, mainland (2)                                 1074361         1040391          822937          217224             230           33970
  Colombia                                              29795           28011           27039             971               *            1784
  Cook Islands                                              4               4               4               0               0               0
  Costa Rica                                             1451            1357            1354               4               0              94
  Croatia                                                1880            1470            1468               2               0             410
  Curacao (1)                                            1206             391             364              25               3             815
  Cyprus                                                  150              90              89               *               0              61
  Czech Republic                                        25166           23576           23323             253               0            1590
  Denmark                                               17575           13990           12810            1180               0            3585
  Dominica                                                 91              89              89               0               0               1
  Dominican Republic                                     2706            2682            2681               1               0              24
  East Timor                                             8043            8043            8043               0               0               0
  Ecuador                                                 297             154             151               3               *             144
  Egypt                                                 16920            2346            2235             111               0           14574
  El Salvador                                            1157             611             607               4               0             546
  Estonia                                                 356             238              86             152               0             118
  Federated States of Micronesia                           32              32              32               0               0               0
  Finland                                                5529            5040            4553             488               0             489
  France                                               141648          118983           97625           20093            1266           22665
  French Polynesia                                          2               *               *               0               0               2
