"Table A1.  Foreign Holdings of U.S. Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2014,2015,2016,2017,2018,2019,2020,2021
"Afghanistan",1,1,1,1,2,2,1,4
"Albania",1,"*","*","*","*","*","*","*"
"Algeria",1,1,1,1,1,1,1,1
"Andorra",2,2,3,2,2,2,2,2
"Angola",1,1,1,1,1,3,2,2
"Anguilla",17,20,18,17,3,6,7,11
"Antigua and Barbuda","*","*","*","*","*","*",1,"*"
"Argentina",8,7,7,7,11,19,13,14
"Armenia","*","*","*",1,1,1,1,1
"Aruba",1,1,1,1,1,1,1,1
"Australia",238,242,237,271,303,344,352,467
"Austria",16,18,19,20,23,28,24,35
"Azerbaijan",8,8,7,7,8,7,11,11
"Bahamas",33,37,42,52,36,39,65,65
"Bahrain",3,3,2,2,2,2,2,3
"Bangladesh",1,1,"*",1,1,1,1,1
"Barbados",13,16,23,24,21,13,12,14
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",713,602,589,691,739,780,852,925
"Belize",1,1,1,1,1,1,1,1
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",301,287,307,318,317,349,367,383
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia",3,3,2,2,2,3,2,1
"Bonaire, Sint Eustatius & Saba","*","*","*","*","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",2,2,2,2,2,2,1,1
"Brazil",263,268,259,277,310,322,276,266
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",176,173,161,166,175,178,170,206
"Brunei",4,3,3,5,6,4,5,7
"Bulgaria","*","*","*","*","*","*","*",1
"Burkina Faso","*","*","*","*","*","*","*","*"
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*","*","*","*",0
"Cambodia","*",2,2,2,2,2,5,5
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",988,992,951,1061,1210,1262,1335,1977
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",1409,1506,1525,1687,1757,1877,1903,2465
"Central African Republic","*","*","*","*","*","*","*","*"
"Chad","*","*","*","*","*","*","*","*"
"Chile",60,64,59,57,55,56,59,68
"China, mainland",1817,1844,1630,1541,1607,1543,1569,1575
"Colombia",48,59,48,45,44,50,47,59
"Comoros",1,1,"*","*","*","*","*","*"
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*",1,1,"*","*",1
"Costa Rica",3,4,3,3,3,4,4,6
"Cote d`Ivoire (Ivory Coast)","*","*","*","*","*","*","*","*"
"Croatia",2,2,2,2,2,2,3,3
"Cuba","*","*","*","*","*","*","*","*"
"Curacao",4,4,6,6,7,7,7,7
"Cyprus",1,1,"*",1,1,1,2,5
"Czech Republic",8,8,11,24,23,27,32,30
"Denmark",98,105,117,125,123,138,157,254
"Djibouti","*","*","*","*","*","*","*","*"
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic",1,2,2,2,3,3,4,5
"East Timor",13,12,11,11,12,11,12,13
"Ecuador",1,1,1,1,1,1,2,1
"Egypt",6,5,3,9,21,20,20,18
"El Salvador",1,1,1,2,2,2,2,1
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia","*",1,1,"*",1,1,1,2
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",29,32,37,45,47,51,48,65
"France",269,274,229,292,329,373,399,682
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*","*","*","*","*","*","*","*"
"Georgia",1,1,1,"*","*","*","*","*"
"Germany",319,344,373,427,456,396,421,562
"Ghana",1,1,1,1,2,2,4,3
"Gibraltar",1,1,1,1,1,1,1,1
"Greece",10,9,6,4,4,6,5,7
"Greenland","*","*","*","*","*","*","*",0
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe","*","*","*","*","*","*","*","*"
"Guatemala",3,3,3,5,5,9,11,9
"Guernsey",38,40,38,43,43,56,53,70
"Guinea","*","*","*","*","*","*","*","*"
"Guinea-Bissau","*",0,0,0,0,0,0,"*"
"Guyana","*","*","*","*","*","*","*","*"
"Haiti",1,1,1,2,2,2,2,2
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras",1,1,1,1,1,2,3,4
"Hong Kong",263,298,305,350,364,397,455,471
"Hungary",2,2,3,3,3,5,5,6
"Iceland",2,2,3,3,3,3,3,3
"India",75,119,119,133,152,168,189,230
