                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A2.  Foreign Holdings of U.S. Equities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2014            2015            2016            2017            2018            2019            2020            2021
  Afghanistan                                          *               *               *               *               *               *               *               *
  Albania                                              *               *               *               *               *               *               *               *
  Algeria                                              *               *               *               *               *               *               *               *
  Andorra                                              1               1               1               1               1               1               1               1
  Angola                                               *               *               *               1               *               1               *               *
  Anguilla                                            17              19              16              15               2               5               7              10
  Antigua and Barbuda                                  *               *               *               *               *               *               *               *
  Argentina                                            5               5               4               5               5               6               7               9
  Armenia                                              *               *               *               *               *               *               *               *
  Aruba                                                *               *               *               1               *               *               *               *
  Australia                                          170             176             171             193             223             262             267             374
  Austria                                              9               8               9              11              14              20              16              27
  Azerbaijan                                           *               1               1               1               2               2               2               4
  Bahamas                                             22              21              17              21              20              23              27              31
  Bahrain                                              1               1               1               1               1               1               1               2
  Bangladesh                                           *               *               *               *               *               *               *               *
  Barbados                                             1               2               2               1               2               2               1               2
  Belarus                                              *               *               *               *               *               *               *               *
  Belgium                                             34              34              31              38              54              58              59             104
  Belize                                               1               1               *               *               1               1               1               1
  Benin                                                *               *               *               *               *               *               *               *
  Bermuda                                             93              89              86              95             102             111             111             138
  Bhutan                                               *               *               *               *               *               *               *               *
  Bolivia                                              *               *               *               *               *               1               *               *
  Bonaire, Sint Eustatius & Saba                       *               *               *               *               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               *
  Botswana                                             1               1               *               1               1               *               *               *
  Brazil                                               7               8               5               5               6               5               8              16
  British Indian Ocean Territory                       *               *               *               *               *               *               *               *
  British Virgin Islands                             128             119             105             112             114             112             106             149
  Brunei                                               4               2               2               4               5               3               2               4
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burkina Faso                                         *               *               *               *               *               *               *               *
  Burma                                                *               *               *               *               *               *               *               *
  Burundi                                              *               *               *               *               *               *               *               0
