"Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as"
"of June 30, 2021"
"Millions of dollars"
"","","","","","of which: Comme","rcial Paper"
"","","","","Total","","Asset-backed"
"Countries and Regions","Total ST","Treasury","Agency","Corporate","Total CP","CP"
"Afghanistan",1270,1270,0,0,0,0
"Algeria",680,680,0,0,0,0
"Andorra",16,16,0,0,0,0
"Anguilla",402,402,0,0,0,0
"Antigua and Barbuda",3,3,0,0,0,0
"Argentina",2352,2321,"*",31,27,27
"Armenia",30,30,0,0,0,0
"Aruba",41,22,0,20,10,0
"Australia",8931,7993,32,907,187,22
"Austria",447,397,0,50,0,0
"Azerbaijan",158,150,0,8,8,8
"Bahamas",12489,11035,4,1450,620,1
"Bahrain",773,773,0,"*",0,0
"Bangladesh",1000,1000,0,0,0,0
"Barbados",791,699,8,84,51,0
"Belgium",33894,31519,0,2375,1255,100
"Belize",99,92,0,8,0,0
"Bermuda",33541,32672,219,650,522,165
"Bolivia",175,41,0,134,0,0
"Brazil",673,605,0,68,12,0
"British Virgin Islands",5455,5122,12,321,271,3
"Brunei",175,175,0,0,0,0
"Bulgaria",5,5,0,0,0,0
"Burma",7,7,0,0,0,0
"Canada",19622,17718,441,1463,1097,572
"Cape Verde",15,15,0,0,0,0
"Cayman Islands",125655,119593,1139,4922,3303,1482
"Chile",5048,4908,0,140,14,0
"China, mainland",3392,3337,43,11,0,0
"Colombia",395,361,24,10,9,0
"Cook Islands",1,1,0,"*",0,0
"Costa Rica",79,73,0,6,3,0
"Croatia",138,137,0,1,0,0
"Curacao",1046,1037,2,7,0,0
"Cyprus",78,72,0,6,0,0
"Czech Republic",242,242,0,0,0,0
"Denmark",663,640,13,9,4,0
"Dominica",1,1,0,0,0,0
"Dominican Republic",21,14,0,7,0,0
"Ecuador",123,44,72,7,5,0
"Egypt",14954,14953,0,"*",0,0
"El Salvador",280,241,0,39,38,37
"Estonia",91,91,0,0,0,0
"Finland",609,609,0,0,0,0
"France",19774,19035,"*",738,684,8
"French Polynesia",2,2,0,0,0,0
"Gambia",71,71,0,0,0,0
"Germany",7618,7389,3,226,120,120
"Ghana",131,128,0,3,3,3
"Gibraltar",158,158,0,0,0,0
"Greece",1562,1561,0,1,0,0
"Grenada",2,2,"*","*",0,0
"Guatemala",166,159,3,4,4,0
"Guernsey",2679,2603,26,50,39,18
"Haiti",13,1,12,0,0,0
"Honduras",1,0,0,1,0,0
"Hong Kong",21485,21467,2,16,5,0
"Hungary",1224,1224,0,0,0,0
"Iceland","*",0,0,"*",0,0
"India",10503,10454,0,50,0,0
"Indonesia",4391,4265,0,126,24,0
"Iraq",11968,11968,0,0,0,0
"Ireland",173015,131344,1358,40314,22937,10799
"Isle of Man",9345,682,300,8363,4813,521
"Israel",9528,9216,84,228,110,30
"Italy",1590,1564,0,26,25,25
"Jamaica",62,62,0,0,0,0
"Japan",66886,65544,2,1341,1197,500
"Jersey",1011,946,18,47,28,21
"Jordan",2,2,0,0,0,0
"Kazakhstan",550,550,0,0,0,0
"Korea, South",13877,13427,28,422,196,17
"Kosovo",5,5,0,0,0,0
"Kuwait",23899,12201,16,11683,9544,5885
"Latvia",299,269,12,18,10,0
"Lebanon","*","*",0,0,0,0
"Lesotho",2,2,0,0,0,0
"Liberia",103,103,0,0,0,0
"Liechtenstein",4,3,0,1,0,0
"Lithuania",36,36,0,0,0,0
"Luxembourg",146249,101910,2443,41897,17318,4953
"Macau",71,57,10,3,3,0
"Macedonia",6,6,0,0,0,0
"Malaysia",84,82,0,2,2,0
