"Table A12.  Maturity Structure of Foreign-Held U.S. Long-Term Debt, as"
"of June 30, 2021"
"Millions of dollars"
""
""
"","June","June","June","June","June","June","June"
"",2015,2016,2017,2018,2019,2020,2021
""
"Total",9547036,10044455,10291629,10281629,10991368,11558608,12408496
"1 year or less",1154695,1214631,1001749,874627,1061384,975488,1016477
"1 to 2 years",1481528,1249475,1266709,1299466,1300601,1300539,1281923
"2 to 3 years",1044265,959648,1147542,1147984,1125074,1104093,1212459
"3 to 4 years",689112,856248,945091,963760,971271,987387,1106214
"4 to 5 years",814385,920085,948867,951277,943160,1118570,1135040
"5 to 6 years",604698,664894,683485,646092,742523,756642,744426
"6 to 7 years",598715,647466,614292,650716,678825,688393,806132
"7 to 8 years",379125,405551,443776,430920,473208,445445,524723
"8 to 9 years",348449,404750,397934,411628,390475,431005,460980
"9 to 10 years",375336,392215,393373,334345,405461,468306,534499
"10 to 15 years",270446,278149,275774,265979,268831,318997,356842
"15 to 20 years",185679,256738,321667,357849,378771,453838,606276
"20 to 25 years",433949,497117,494837,526223,636570,726895,681782
"25 to 30 years",991978,1151330,1213751,1261083,1443689,1598668,1722004
"30+ years",126461,122732,117003,119027,128430,167693,197705
""
"Total FOI",4429692,4379694,4259968,4385782,4678973,4649079,4759501
"1 year or less",688735,661548,483439,408826,511620,448412,487015
"1 to 2 years",994974,668999,704490,732516,689495,702101,594754
"2 to 3 years",570658,517004,627433,617013,593020,520781,644677
"3 to 4 years",317967,444097,459534,463923,437778,495182,515494
"4 to 5 years",371079,411100,414474,416811,464154,502122,488832
"5 to 6 years",260493,334613,300306,287304,327350,332810,258318
"6 to 7 years",263333,289813,278863,272812,304416,245645,325915
"7 to 8 years",136548,171555,151898,142950,144936,153616,144671
"8 to 9 years",166231,155296,139579,129209,151752,147223,119177
"9 to 10 years",147853,121697,102915,115542,141607,125844,184614
"10 to 15 years",53126,53761,39690,32544,26840,26012,28354
"15 to 20 years",15973,21709,25604,35790,38344,55989,141988
"20 to 25 years",91110,168575,189557,227180,280542,307826,234063
"25 to 30 years",423618,428924,402362,543358,603449,632453,636037
"30+ years",8761,8096,7028,6741,8926,13412,16162
""
"Total Private",5117344,5664761,6031660,5895847,6312395,6909529,7648994
"1 year or less",465960,553084,518310,465801,549764,527077,529462
"1 to 2 years",486554,580476,562220,566950,611106,598438,687170
"2 to 3 years",473608,442644,520109,530972,532054,583312,567782
"3 to 4 years",371146,412150,485557,499837,533493,492204,590720
"4 to 5 years",443306,508985,534394,534466,479007,616448,646208
"5 to 6 years",344205,330281,383179,358788,415173,423833,486109
"6 to 7 years",335383,357653,335429,377904,374409,442748,480217
"7 to 8 years",242577,233996,291878,287970,328273,291828,380052
"8 to 9 years",182217,249454,258355,282418,238723,283782,341802
"9 to 10 years",227484,270518,290458,218803,263854,342462,349886
"10 to 15 years",217320,224389,236085,233435,241991,292985,328488
"15 to 20 years",169707,235028,296063,322059,340426,397849,464288
"20 to 25 years",342839,328542,305280,299043,356028,419069,447719
"25 to 30 years",568360,722406,811389,717725,840240,966215,1085967
"30+ years",117701,114636,109975,112286,119503,154281,181543
""
"Maturity groupings may not sum to totals becau","se some bonds hav","e unknown maturit","ies."
""
""
""
""
""
""
"Table A12.  Maturity Structure of Foreign-Held","U.S. Long-Term D","ebt, as"
"of June 30, 2021"
"Millions of dollars"
""
""
"","June","June","June","June","June","June","June"
"",2015,2016,2017,2018,2019,2020,2021
""
"U.S. Treasuries",5449911,5584909,5467555,5466965,5903163,6005341,6574108
"1 year or less",909805,937456,708328,635955,783058,714992,760253
"1 to 2 years",1189867,889566,966114,977509,965902,977382,967442
"2 to 3 years",693817,645667,774905,783486,750306,737150,897915
"3 to 4 years",425887,547948,592902,595503,598017,666937,696413
"4 to 5 years",498691,563099,559670,567461,616492,690880,706843
"5 to 6 years",366703,420708,375045,382022,447197,444577,381395
"6 to 7 years",367196,383251,373793,375340,410951,363034,502030
"7 to 8 years",174098,236966,219846,205717,213538,223490,243218
"8 to 9 years",227489,238979,215143,202923,230703,244918,191922
"9 to 10 years",223275,216835,181909,187599,244377,209594,325334
"10 to 15 years",85280,78973,61767,46207,22320,12828,18406
"15 to 20 years",10240,14746,16967,27474,36646,68198,219868
"20 to 25 years",48903,133288,165098,181651,258135,298498,273001
"25 to 30 years",224895,276615,256038,279841,301848,352827,390051
"30+ years",0,0,0,0,0,0,0
""
"U.S. Treasuries FOI",3806035,3761296,3662609,3650929,3852190,3762958,3940118
"1 year or less",658992,625210,451401,385151,481786,427987,470713
"1 to 2 years",953579,626889,677703,704124,665996,677397,578884
"2 to 3 years",527993,490771,597309,594896,564943,498965,623725
"3 to 4 years",295706,422280,441514,444311,419588,477295,495741
"4 to 5 years",346429,391489,391749,398152,446245,475538,469454
"5 to 6 years",248530,318813,285368,275395,313151,317278,241808
"6 to 7 years",249640,275705,265970,259919,292001,228983,312143
"7 to 8 years",123587,160564,140455,133306,133351,142748,133688
"8 to 9 years",154993,143194,129060,119333,143259,136335,104364
"9 to 10 years",133249,108675,89451,105891,131609,106702,172075
"10 to 15 years",40526,35978,25291,19747,8506,2136,2570
"15 to 20 years",1618,2656,4977,12373,13133,23331,107066
"20 to 25 years",16389,89410,116122,117439,157614,163988,120926
"25 to 30 years",113444,125653,93651,109539,109836,129509,149116
"30+ years",0,0,0,0,0,0,0
""
"U.S. Treasuries Private",1643876,1823613,1804946,1816036,2050972,2242383,2633990
"1 year or less",250813,312246,256927,250804,301272,287005,289539
"1 to 2 years",236288,262677,288411,273386,299905,299985,388558
"2 to 3 years",165824,154896,177597,188590,185362,238185,274190
"3 to 4 years",130181,125669,151388,151192,178428,189642,200672
"4 to 5 years",152262,171610,167921,169309,170247,215342,237389
"5 to 6 years",118173,101895,89677,106627,134046,127300,139587
"6 to 7 years",117556,107546,107823,115421,118950,134051,189887
"7 to 8 years",50510,76402,79392,72410,80187,80742,109530
"8 to 9 years",72496,95786,86082,83590,87444,108583,87558
"9 to 10 years",90025,108161,92458,81708,112768,102893,153259
"10 to 15 years",44754,42995,36476,26459,13814,10693,15836
"15 to 20 years",8623,12090,11990,15101,23514,44867,112802
"20 to 25 years",32514,43878,48976,64212,100521,134510,152075
"25 to 30 years",111452,150962,162387,170302,192012,223317,240935
"30+ years",0,0,0,0,0,0,0
""
"Maturity groupings may not sum to totals becau","se some bonds hav","e unknown maturit","ies."
""
""
""
""
""
""
