"Table A3.  Foreign Holdings of U.S. Long-Term Debt Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan",1,1,1,2,2,1,3,1
"Albania","*","*","*","*","*","*","*",1
"Algeria","*","*","*","*","*","*","*","*"
"Andorra",1,1,1,1,1,1,1,1
"Angola",1,"*","*",1,2,1,2,1
"Anguilla","*","*","*","*","*",1,"*","*"
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",2,2,2,4,7,3,2,2
"Armenia","*","*",1,1,1,1,1,1
"Aruba",1,1,1,1,1,1,1,1
"Australia",56,58,69,70,74,75,84,93
"Austria",9,10,9,8,7,7,7,6
"Azerbaijan",7,6,5,5,5,8,7,9
"Bahamas",12,21,25,11,11,33,22,24
"Bahrain",1,1,1,1,"*","*","*","*"
"Bangladesh","*","*","*","*","*","*","*",5
"Barbados",13,21,22,19,10,10,11,13
"Belarus","*","*","*","*","*","*","*",0
"Belgium",555,497,638,654,695,747,787,755
"Belize","*","*","*","*","*","*","*","*"
"Benin",0,"*","*","*","*","*",0,0
"Bermuda",175,193,199,193,213,223,211,178
"Bhutan",0,0,"*","*","*","*","*","*"
"Bolivia",1,"*",1,1,1,"*","*","*"
"Bonaire, Sint Eustatius & Saba","*","*","*","*","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",2,2,1,1,1,1,1,1
"Brazil",239,240,253,297,313,253,250,226
"British Indian Ocean Territory","*",0,"*","*","*","*",0,0
"British Virgin Islands",38,41,43,48,52,56,52,56
"Brunei",1,1,1,1,1,2,3,1
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*",0,0,0,0,0,0,0
"Burma","*","*","*","*","*","*","*","*"
"Cambodia",2,2,2,2,2,5,5,12
"Canada",207,235,238,263,289,335,462,482
"Cape Verde",0,"*","*","*","*","*","*","*"
"Cayman Islands",525,626,657,604,694,720,801,732
"Chile",25,30,24,23,30,28,35,37
"China, mainland",1510,1450,1344,1385,1350,1301,1298,1198
"Colombia",39,34,32,29,35,32,38,37
"Comoros",0,0,0,0,"*",0,0,0
"Congo (Brazzaville)","*","*",0,0,"*","*",0,"*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*","*","*","*","*","*"
"Costa Rica",2,2,2,2,2,2,2,3
"Cote d`Ivoire (Ivory Coast)",0,0,0,0,0,0,0,"*"
"Croatia",1,1,1,1,1,1,2,1
"Curacao",2,2,2,2,2,2,2,2
"Cyprus","*","*","*","*","*","*","*","*"
"Czech Republic",6,9,21,19,23,25,21,21
"Denmark",43,47,40,36,37,39,38,31
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic",1,2,1,2,3,3,4,3
"East Timor",8,8,8,8,8,8,9,11
"Ecuador","*","*","*","*",1,1,"*","*"
"Egypt",4,1,2,2,2,2,2,"*"
"El Salvador",1,1,1,1,1,1,"*","*"
"Equatorial Guinea","*",0,0,0,"*","*","*",0
"Estonia","*","*","*","*",1,"*","*","*"
"Ethiopia","*","*","*","*","*",0,0,0
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands",0,0,"*","*","*",0,0,0
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",13,15,17,12,13,11,12,10
"France",98,97,122,144,177,183,303,307
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Georgia",1,1,"*","*",0,"*","*",0
"Germany",180,196,215,209,194,199,222,202
"Ghana",1,1,1,1,1,3,3,3
"Gibraltar","*","*","*","*","*","*","*","*"
"Greece",2,2,2,2,3,2,2,2
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe","*",0,0,"*","*","*",0,0
"Guatemala",2,3,4,4,8,10,8,9
"Guernsey",11,10,10,10,11,11,11,14
"Guinea","*","*","*","*","*",0,0,0
"Guyana","*","*","*","*","*","*","*","*"
"Haiti",1,1,1,2,2,1,2,1
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras",1,1,1,1,1,2,4,3
"Hong Kong",162,182,191,210,257,303,280,226
"Hungary",1,2,1,2,4,3,3,2
"Iceland",1,2,2,2,2,2,2,1
"India",101,110,115,142,161,152,210,207
"Indonesia",23,23,31,27,28,29,28,26
"Iran",0,0,0,"*",0,0,0,0
"Iraq",12,7,6,11,16,13,9,16
"Ireland",476,578,640,622,520,470,505,459
"Isle of Man",1,1,1,1,1,1,1,1
"Israel",23,36,37,35,46,52,65,59
"Italy",41,53,49,54,59,58,60,55
"Jamaica",1,"*",1,1,1,1,1,1
"Japan",1437,1470,1450,1436,1622,1815,1832,1674
"Jersey",8,7,6,7,7,6,6,7
"Jordan","*","*","*",1,1,1,1,2
"Kazakhstan",12,17,8,4,2,1,2,1
"Kenya",1,1,1,3,3,6,6,5
"Kiribati","*",0,0,0,0,0,0,0
"Korea, South",133,151,170,174,206,220,227,185
"Kosovo",0,"*","*","*","*","*","*","*"
"Kuwait",43,46,49,61,65,65,62,62
"Kyrgyzstan",0,0,0,0,0,"*",0,0
"Laos",0,0,0,"*","*",0,0,0
"Latvia",1,1,2,2,2,2,2,1
"Lebanon","*","*","*","*","*","*","*","*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia","*",1,"*","*","*","*","*","*"
"Libya",0,0,"*",1,"*",2,2,1
"Liechtenstein","*","*",1,1,1,1,1,1
"Lithuania","*","*","*",3,2,2,2,2
"Luxembourg",681,738,771,774,871,917,960,823
"Macau",2,2,2,3,3,3,2,3
"Macedonia","*","*","*","*","*","*",0,"*"
"Madagascar","*","*","*","*",1,1,1,1
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",22,25,28,28,26,36,33,27
"Maldives",0,0,0,"*","*","*","*","*"
"Malta",1,1,1,1,1,1,2,2
"Marshall Islands","*","*","*","*","*","*","*","*"
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius",1,2,3,2,2,1,1,1
"Mayotte","*",0,0,0,0,0,0,0
"Mexico",100,64,44,49,57,49,55,50
"Moldova","*","*",1,1,1,1,2,2
"Monaco","*","*","*","*","*",1,1,1
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro",0,0,"*","*","*",0,0,"*"
"Montserrat",0,"*","*","*","*","*","*","*"
"Morocco",2,2,2,2,5,4,4,4
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia","*","*","*","*","*","*","*","*"
"Nepal",1,1,1,1,1,"*",1,1
"Netherlands",107,130,129,123,133,159,173,150
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",7,7,7,8,9,9,10,8
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger","*",0,0,0,0,0,0,0
"Nigeria",3,3,2,4,5,5,5,6
"Norway",109,104,101,93,143,141,167,158
"Oman",15,16,16,12,9,8,7,7
"Pakistan",1,1,1,1,"*","*",1,1
"Palau","*","*","*","*","*","*","*","*"
"Panama",6,7,9,9,11,9,9,9
"Papua New Guinea","*","*","*","*","*","*","*","*"
"Paraguay","*","*","*","*","*",2,8,7
"Peru",17,18,18,20,23,21,31,33
"Philippines",40,42,39,32,30,42,50,49
"Poland",29,35,34,41,25,31,43,35
"Portugal",3,6,5,3,3,5,6,6
"Qatar",1,"*",2,2,3,6,9,8
"Romania",2,4,3,8,7,5,5,8
"Russia",72,91,97,9,5,3,"*","*"
"Rwanda","*","*","*","*","*","*",1,1
"Saint Kitts and Nevis",1,1,1,2,2,1,1,1
"Saint Lucia","*","*","*","*","*","*","*","*"
"Saint Martin & Saint Barthelemy","*","*","*","*","*","*","*","*"
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino",0,0,0,0,"*","*","*","*"
"Sao Tome and Principe",0,0,0,0,0,0,"*","*"
"Saudi Arabia",126,112,114,121,150,111,116,110
"Senegal",0,"*","*","*","*",0,0,0
"Serbia",1,1,2,2,2,2,1,1
"Seychelles","*","*","*","*","*","*","*","*"
"Singapore",174,171,164,162,171,187,227,226
"Sint Maarten","*","*","*","*","*","*","*","*"
"Slovakia","*","*","*","*","*","*","*","*"
"Slovenia",1,1,1,1,1,1,1,1
"Solomon Islands","*","*","*","*","*","*","*","*"
"South Africa",11,11,12,18,10,10,10,15
"Spain",35,44,41,36,45,46,37,34
"Sri Lanka","*","*",1,3,2,3,"*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Eswatini","*","*","*","*","*","*","*","*"
"Sweden",44,46,50,53,55,44,48,56
"Switzerland",338,359,378,331,322,323,391,355
"Syria","*","*","*","*","*",0,0,0
"Taiwan",416,473,505,510,554,614,642,590
"Tajikistan",0,0,0,0,0,"*","*","*"
"Tanzania",2,1,2,2,1,2,2,2
"Thailand",16,25,64,54,77,83,63,48
"Togo","*","*","*","*","*","*","*","*"
"Tonga","*","*","*","*",0,0,0,0
"Trinidad and Tobago",7,7,7,6,7,6,5,5
"Tunisia","*","*","*","*","*","*","*","*"
"Turkey",19,25,23,13,2,2,1,1
"Turkmenistan",0,0,0,0,"*",0,0,0
"Turks and Caicos Islands","*","*","*","*","*","*","*",1
"Uganda","*",1,1,"*",1,1,1,1
"Ukraine",4,6,2,1,4,6,6,8
"United Arab Emirates",65,63,58,57,46,25,43,35
"United Kingdom",574,646,608,629,716,891,1003,1030
"Uruguay",8,6,6,7,7,6,4,5
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu",0,0,"*","*","*","*","*","*"
"Venezuela",2,2,2,2,3,2,2,1
"Vietnam",14,14,14,20,25,30,39,39
"West Bank and Gaza",0,0,0,0,"*",0,0,0
"Western Sahara","*",0,0,0,0,0,0,0
"Yemen",1,"*","*","*","*","*","*","*"
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"International and regional organizatio",84,78,68,61,58,61,62,73
"Country Unknown",98,82,64,79,55,75,69,56
"Total",9547,10044,10292,10282,10991,11559,12407,11591
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
""
""
""
