"Table A8.  Foreign Holdings of U.S. Equities, by Country and Equity Type,"
"as of June 30, 2022"
"Millions of dollars"
"","Total","Common","","Preferred"
"Countries and Regions","Equities","Stock","Funds","and Other"
"Afghanistan",10,1,9,0
"Albania",12,11,1,"*"
"Algeria",67,64,3,"*"
"Andorra",1259,910,291,58
"Angola",312,281,10,20
"Anguilla",12010,11253,687,70
"Antigua and Barbuda",140,110,26,4
"Argentina",7897,3850,3815,232
"Armenia",21,19,2,"*"
"Aruba",546,242,300,3
"Australia",470661,326486,76361,67814
"Austria",25225,22490,2631,104
"Azerbaijan",3928,2990,126,811
"Bahamas",23338,9877,12377,1084
"Bahrain",1213,584,409,220
"Bangladesh",7,4,3,0
"Barbados",2136,809,1254,74
"Belarus",40,40,"*",0
"Belgium",76041,61104,14615,322
"Belize",726,364,319,43
"Benin","*",0,"*","*"
"Bermuda",126888,25540,93700,7648
"Bhutan",33,11,22,0
"Bolivia",391,97,287,8
"Bonaire, Sint Eustatius & Saba",11,5,6,"*"
"Bosnia and Herzegovina",2,1,1,0
"Botswana",842,777,62,2
"Brazil",18121,6557,10916,648
"British Indian Ocean Territory",1,1,"*",0
"British Virgin Islands",128775,64735,46373,17667
"Brunei",3759,738,2930,90
"Bulgaria",417,221,196,1
"Burkina Faso",3624,957,2660,6
"Burma",7,2,4,"*"
"Cambodia",6692,5846,238,607
"Cameroon",4,3,1,0
"Canada",1340956,1015333,253174,72449
"Cape Verde","*",0,"*",0
"Cayman Islands",1365364,672014,451336,242015
"Chad","*","*","*","*"
"Chile",26587,2765,21045,2778
"China, mainland",273010,226089,25674,21247
"Colombia",20581,697,17411,2473
"Comoros",2,1,1,"*"
"Congo (Brazzaville)",1,1,"*",0
"Congo (Kinshasa)",1,"*",1,"*"
"Cook Islands",151,68,83,1
"Costa Rica",3210,635,2528,46
"Cote d`Ivoire (Ivory Coast)",1439,136,1279,25
"Croatia",719,555,157,7
"Cuba","*","*","*","*"
"Curacao",3863,1245,2104,514
"Cyprus",3711,2754,587,370
"Czech Republic",7822,6783,1008,31
"Denmark",151154,117128,11751,22274
"Djibouti",3,2,"*",0
"Dominica",37,10,24,3
"Dominican Republic",495,309,170,16
"East Timor",2853,2775,78,0
"Ecuador",692,266,409,17
"Egypt",281,177,104,1
"El Salvador",1098,110,943,45
"Equatorial Guinea",1,"*","*","*"
"Eritrea","*","*","*","*"
"Estonia",1359,930,414,16
"Ethiopia",4,"*",3,"*"
"Falkland Islands",48,48,"*","*"
"Faroe Islands",2,1,1,0
"Federated States of Micronesia",103,68,33,3
"Fiji",8,4,3,"*"
"Finland",47049,24159,15478,7412
"France",296966,271652,21847,3467
"French Guiana",211,122,88,"*"
"French Polynesia",11,8,4,"*"
"Gabon",30,19,11,"*"
"Gambia",5,"*",5,0
"Georgia",21,14,7,"*"
"Germany",311143,274444,19394,17304
"Ghana",16,9,7,0
"Gibraltar",310,226,79,5
"Greece",3101,2454,622,24
"Grenada",120,61,58,2
"Guadeloupe",11,9,1,0
"Guatemala",408,188,204,16
"Guernsey",51879,18954,16036,16889
"Guinea",109,"*",109,0
"Guinea-Bissau","*","*",0,0
"Guyana",24,10,14,"*"
"Haiti",92,57,31,4
"Holy See (Vatican)",1,0,1,0
"Honduras",194,44,147,4
"Hong Kong",141990,96533,31118,14339
"Hungary",1550,469,1080,1
"Iceland",1889,571,549,769
"India",8422,7265,1094,63
"Indonesia",3952,448,3296,209
"Iran",2,1,1,"*"
"Iraq",2,1,"*",0
"Ireland",747997,694105,43658,10233
"Isle of Man",2711,1690,968,53
"Israel",86783,51893,27433,7458
"Italy",55775,51435,2761,1578
"Jamaica",296,150,141,5
"Japan",727332,585865,128042,13425
"Jersey",22598,11802,5576,5220
"Jordan",86,64,18,4
"Kazakhstan",297,209,77,11
"Kenya",54,28,27,"*"
"Kiribati",206,"*",206,0
"Korea, South",330899,195258,53376,82266
"Kosovo",8,7,1,0
"Kuwait",240894,218720,12591,9583
"Kyrgyzstan",1,"*","*",0
"Laos",1,"*","*","*"
"Latvia",532,492,40,"*"
"Lebanon",222,132,48,41
"Lesotho","*",0,0,"*"
"Liberia",467,194,241,32
"Libya",30,1,1,28
"Liechtenstein",9264,7966,324,974
"Lithuania",147,103,34,9
"Luxembourg",1020693,905834,83904,30955
"Macau",2601,2479,121,1
"Macedonia",2,1,1,0
"Madagascar",13,"*",13,0
"Malawi",4,2,2,"*"
"Malaysia",27641,23863,1789,1988
"Maldives","*","*","*","*"
"Mali","*","*",0,0
"Malta",2154,1151,876,126
"Marshall Islands",1429,832,498,98
"Martinique","*","*","*","*"
"Mauritania","*","*",0,0
"Mauritius",1758,1564,151,43
"Mayotte","*","*",0,0
"Mexico",35891,8340,25241,2310
"Moldova",6,4,2,"*"
"Monaco",2284,1669,571,44
"Mongolia",2,2,"*",0
"Montenegro",3,3,"*",0
"Montserrat",4,"*",3,"*"
"Morocco",2027,1710,314,3
"Mozambique",2,"*",2,"*"
"Namibia",296,281,15,"*"
"Nauru","*","*","*","*"
"Nepal",7,2,5,0
"Netherlands",304712,197246,75738,31727
"New Caledonia",1,1,"*",0
"New Zealand",42557,31730,10132,696
"Nicaragua",64,35,24,6
"Niger",2,1,1,0
"Nigeria",179,83,76,20
"Niue",1,"*",1,0
"Norway",386071,346995,30237,8838
"Oman",9121,2155,6354,612
"Pakistan",71,49,22,"*"
"Palau",141,99,29,14
"Panama",16630,7795,7573,1261
"Papua New Guinea",1,"*","*","*"
"Paraguay",171,84,72,14
"Peru",8023,526,5723,1774
"Philippines",5100,1117,3834,149
"Poland",1620,1483,126,11
"Portugal",6618,3220,3357,42
"Qatar",24858,21841,1092,1925
"Reunion",1,"*",1,0
"Romania",385,352,28,5
"Russia",1437,1172,254,11
"Rwanda","*","*","*",0
"Saint Kitts and Nevis",5750,1559,1583,2609
"Saint Lucia",355,143,208,4
"Saint Martin & Saint Barthelemy",33,13,20,1
"Saint Vincent and the Grenadines",63,35,28,"*"
"Samoa",549,330,211,8
"San Marino","*","*","*","*"
"Sao Tome and Principe",3,3,"*",0
"Saudi Arabia",180948,123955,28570,28423
"Senegal",7,4,3,0
"Serbia",17,12,5,0
"Seychelles",327,203,100,24
"Sierra Leone","*","*","*",0
"Singapore",323285,162220,59417,101648
"Sint Maarten",63,37,25,1
"Slovakia",71,58,12,1
"Slovenia",2048,1585,462,1
"Solomon Islands","*","*","*",0
"Somalia","*","*",0,0
"South Africa",16212,12398,3212,603
"South Sudan","*",0,"*",0
"Spain",35276,28321,5387,1568
"Sri Lanka",22,12,9,"*"
"Sudan","*","*","*",0
"Suriname",110,21,86,3
"Eswatini",2,"*",2,0
"Sweden",273920,247747,17144,9028
"Switzerland",627618,540457,77868,9292
"Syria",1,1,"*","*"
"Taiwan",100007,49230,45554,5223
"Tajikistan","*","*","*",0
"Tanzania",15,9,7,"*"
"Thailand",18820,7826,10572,422
"Togo",1,1,"*",0
"Tokelau",1,1,"*","*"
"Tonga","*","*","*","*"
"Trinidad and Tobago",3898,2854,1010,34
"Tunisia",21,8,13,"*"
"Turkey",1083,557,510,17
"Turkmenistan","*","*","*","*"
"Turks and Caicos Islands",1412,287,1063,61
"Uganda",27,22,5,"*"
"Ukraine",50,36,9,4
"United Arab Emirates",129885,73352,32134,24399
"United Kingdom",1311781,1094808,129107,87866
"Uruguay",3367,1384,1851,132
"Uzbekistan",2,2,1,"*"
"Vanuatu",3,"*",3,"*"
"Venezuela",2929,1685,1074,170
"Vietnam",69,47,20,2
"Wallis and Futuna","*","*",0,0
"West Bank and Gaza",1,1,"*","*"
"Western Sahara","*","*","*",0
"Yemen","*","*","*","*"
"Zambia",4,3,1,0
