naics_code,industry_classification,total,equity,debt_long_term,debt_short_term
"21"," Mining, quarrying, and oil and gas extraction","243","169","73","1"
"2111"," Oil and gas extraction","108","67","41","0"
"2122"," Metal ore mining","47","36","11","0"
"213111-213112"," Oil and gas well drilling and support","68","50","18","*"
"213114"," Support activities for metal mining","2","1","*","1"
""," Other","18","15","3","0"
"22-23"," Utilities and construction","485","306","178","1"
"2211"," Electric power generation and distribution","318","187","130","1"
"2212"," Natural gas distribution","95","65","30","*"
"2213"," Water, sewage, and other systems","18","15","4","0"
"23"," Construction","56","40","16","0"
"31"," Consumer goods manufacturing","538","376","162","1"
"311"," Food manufacturing","155","100","55","1"
"3121"," Beverage manufacturing","221","149","71","*"
"3122"," Tobacco product manufacturing","81","51","30","*"
""," Other","81","75","6","0"
"325"," Chemical manufacturing","1,152","933","216","4"
"3254"," Pharmaceutical and medicine manufacturing","847","687","160","*"
""," Other","305","246","55","3"
"326-333"," Other primary and machinery manufacturing","305","233","71","1"
"331"," Primary metal manufacturing","36","27","9","0"
"333"," Machinery manufacturing","181","147","34","*"
""," Other","88","60","28","*"
"334-335"," Computer and electronic product manufacturing","1,940","1,738","199","3"
"3341"," Computer and peripheral equipment manufacturing","613","534","78","*"
"3342"," Communications equipment manufacturing","64","43","20","1"
"3344"," Semiconductor and other electronic component mfg.","884","827","56","*"
"3345"," Navigational, measuring, electromed., control instr. mfg.","323","283","38","1"
"335"," Electrical equipment, appliance, and component mfg.","60","50","10","*"
""," Other","-3","0","-3","0"
"336-339"," All other manufacturing","575","480","94","*"
"3361"," Motor vehicle manufacturing","198","180","18","*"
"3363"," Motor vehicle parts manufacturing","25","17","7","0"
"3364"," Aircraft manufacturing","105","73","32","0"
"3365-3369"," Rail, ship, and other transportation manufacturing","12","9","3","*"
"3391"," Medical equipment and supplies manufacturing","185","162","23","*"
""," Other","50","38","12","*"
"42"," Wholesale trade","199","142","57","*"
"423"," Merchant wholesalers, durable goods","105","76","29","*"
"424-425"," Merchant wholesalers, nondurable goods","95","67","28","*"
"44-45"," Retail trade","766","630","136","1"
"445"," Food and beverage stores","23","13","10","*"
""," Other","744","617","126","1"
"48-49"," Transportation and cargo","281","176","104","*"
"481"," Air transportation","26","13","12","0"
"482"," Rail transportation","87","63","24","*"
"483"," Water transportation","2","1","*","0"
"486"," Pipeline transportation","60","23","38","*"
"488"," Support activities for transportation","18","13","5","0"
""," Other","89","64","24","*"
"511-516"," Publishing and broadcasting","1,270","1,045","225","*"
"512"," Motion picture and sound recording industries","83","58","25","0"
"513"," Publishing","969","874","95","0"
"516"," Broadcasting","219","113","106","*"
"517-519"," Telecommunications and information services","550","347","202","1"
"5171"," Wired telecommunications carriers","287","117","169","1"
"519"," Other information services","142","136","5","*"
""," Other","122","94","27","*"
"5221"," Depository credit intermediation (banking)","279","51","118","110"
"5222-5239"," Other financial","2,900","974","1,895","32"
"522292"," Real estate credit","1,151","1","1,151","*"
"52239"," Other credit intermed","407","2","399","6"
"5231"," Inv. banking","177","71","105","2"
""," Other","1,164","900","240","24"
"524"," Insurance","639","462","169","9"
"525"," Funds, trusts, and other financial vehicles","2,880","2,809","68","3"
"53-81"," Services","1,911","1,098","793","20"
"531"," Real estate rental and leasing","99","17","79","3"
"5413"," Architectural, engineering, and related services","21","17","4","*"
"5415"," Computer systems design and related services","302","249","53","*"
"5416"," Management, scientific, and technical consulting services","30","15","12","3"
"5511"," Offices of bank and other holding companies","734","327","404","4"
"561"," Administrative and support services","208","124","76","9"
"61-62"," Education, health care, and social services","117","57","60","*"
"71"," Arts, entertainment, and recreation","32","22","9","0"
"72"," Accommodation and food services","185","140","45","*"
""," Other","182","130","52","1"
"92","Government$^{2}$","7,414","*","6,521","894"
""," Industry classification unknown","394","63","290","41"
""," All other industries","234","167","59","8"
""," Total","24,956","12,200","11,626","1,130"
