"Table A12.  Maturity Structure of Foreign-Held U.S. Long-Term Debt, as"
"of June 30, 2022"
"Millions of dollars, parts may not sum to total as some bonds have unknown maturities."
""
""
"","June","June","","June","June","","June","June","","June"
"",2016,2017,"",2018,2019,"",2020,2021,"",2022
""
"Total",10044455,10,291629,10281629,109,91368,11558608,1240,7260,11591332
"1 year or less",1214631,1,001749,874627,10,61384,975488,101,6439,1000700
"1 to 2 years",1249475,1,266709,1299466,13,00601,1300539,128,1832,1315275
"2 to 3 years",959648,1,147542,1147984,11,25074,1104093,121,2459,1118716
"3 to 4 years",856248,"",945091,963760,9,71271,987387,110,6197,999730
"4 to 5 years",920085,"",948867,951277,9,43160,1118570,113,4974,991083
"5 to 6 years",664894,"",683485,646092,7,42523,756642,74,4409,756459
"6 to 7 years",647466,"",614292,650716,6,78825,688393,80,6099,797958
"7 to 8 years",405551,"",443776,430920,4,73208,445445,52,4684,460204
"8 to 9 years",404750,"",397934,411628,3,90475,431005,46,0948,482369
"9 to 10 years",392215,"",393373,334345,4,05461,468306,53,4464,451186
"10 to 15 years",278149,"",275774,265979,2,68831,318997,35,6517,356017
"15 to 20 years",256738,"",321667,357849,3,78771,453838,60,5957,586641
"20 to 25 years",497117,"",494837,526223,6,36570,726895,68,1749,573007
"25 to 30 years",1151330,1,213751,1261083,14,43689,1598668,172,1935,1512255
"30+ years",122732,"",117003,119027,1,28430,167693,19,7669,169503
""
"Total FOI",4379694,4,259968,4385782,46,78973,4649079,475,9428,4409100
"1 year or less",661548,"",483439,408826,5,11620,448412,48,6976,461012
"1 to 2 years",668999,"",704490,732516,6,89495,702101,59,4754,613863
"2 to 3 years",517004,"",627433,617013,5,93020,520781,64,4677,488342
"3 to 4 years",444097,"",459534,463923,4,37778,495182,51,5489,407814
"4 to 5 years",411100,"",414474,416811,4,64154,502122,48,8818,383006
"5 to 6 years",334613,"",300306,287304,3,27350,332810,25,8318,314497
"6 to 7 years",289813,"",278863,272812,3,04416,245645,32,5915,329372
"7 to 8 years",171555,"",151898,142950,1,44936,153616,14,4671,130536
"8 to 9 years",155296,"",139579,129209,1,51752,147223,11,9169,180578
"9 to 10 years",121697,"",102915,115542,1,41607,125844,18,4614,173871
"10 to 15 years",53761,"",39690,32544,"",26840,26012,2,8352,31337
"15 to 20 years",21709,"",25604,35790,"",38344,55989,14,1986,177338
"20 to 25 years",168575,"",189557,227180,2,80542,307826,23,4062,173858
"25 to 30 years",428924,"",402362,543358,6,03449,632453,63,6037,606840
"30+ years",8096,"",7028,6741,"",8926,13412,1,6157,9280
""
"Total Private",5664761,6,031660,5895847,63,12395,6909529,764,7833,7182232
"1 year or less",553084,"",518310,465801,5,49764,527077,52,9463,539688
"1 to 2 years",580476,"",562220,566950,6,11106,598438,68,7079,701412
"2 to 3 years",442644,"",520109,530972,5,32054,583312,56,7782,630375
"3 to 4 years",412150,"",485557,499837,5,33493,492204,59,0708,591916
"4 to 5 years",508985,"",534394,534466,4,79007,616448,64,6156,608077
"5 to 6 years",330281,"",383179,358788,4,15173,423833,48,6091,441962
"6 to 7 years",357653,"",335429,377904,3,74409,442748,48,0184,468585
"7 to 8 years",233996,"",291878,287970,3,28273,291828,38,0012,329668
"8 to 9 years",249454,"",258355,282418,2,38723,283782,34,1780,301791
"9 to 10 years",270518,"",290458,218803,2,63854,342462,34,9850,277314
