"Table A2.  Foreign Holdings of U.S. Equities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2016,2017,2018,2019,2020,2021,2022,2023
"Afghanistan","*","*","*","*","*","*","*","*"
"Albania","*","*","*","*","*","*","*","*"
"Algeria","*","*","*","*","*","*","*","*"
"Andorra",1,1,1,1,1,1,1,2
"Angola","*",1,"*",1,"*","*","*","*"
"Anguilla",16,15,2,5,7,10,12,11
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",4,5,5,6,7,9,8,7
"Armenia","*","*","*","*","*","*","*","*"
"Aruba","*",1,"*","*","*","*",1,"*"
"Australia",171,193,223,262,267,374,471,474
"Austria",9,11,14,20,16,27,25,31
"Azerbaijan",1,1,2,2,2,4,4,7
"Bahamas",17,21,20,23,27,31,23,25
"Bahrain",1,1,1,1,1,2,1,1
"Bangladesh","*","*","*","*","*","*","*","*"
"Barbados",2,1,2,2,1,2,2,2
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",31,38,54,58,59,104,76,85
"Belize","*","*",1,1,1,1,1,1
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",86,95,102,111,111,138,127,131
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia","*","*","*",1,"*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*","*","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana","*",1,1,"*","*","*",1,1
"Brazil",5,5,6,5,8,16,18,17
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",105,112,114,112,106,149,129,135
"Brunei",2,4,5,3,2,4,4,2
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*","*","*","*","*","*",4,"*"
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*","*",0,0,"*"
"Cambodia","*","*","*","*","*","*",7,"*"
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",695,810,928,956,971,1495,1341,1458
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",796,928,1038,1084,1059,1538,1365,1575
"Central African Republic","*","*","*","*","*","*",0,0
"Chad","*","*","*","*","*","*","*","*"
"Chile",21,24,21,22,23,27,27,28
"China, mainland",178,194,217,189,233,273,273,309
"Colombia",13,13,13,13,14,20,21,20
"Comoros","*","*","*","*","*","*","*","*"
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*",1,1,"*","*",1,"*","*"
"Costa Rica",1,1,1,2,2,3,3,4
"Cote d`Ivoire","*","*","*","*","*","*",1,1
"Croatia","*","*","*",1,1,1,1,1
"Cuba","*","*","*","*","*","*","*","*"
"Curacao",3,3,4,4,4,5,4,4
"Cyprus","*","*",1,1,2,4,4,5
"Czech Republic",2,3,3,4,5,8,8,9
"Denmark",68,83,87,100,115,215,151,171
"Djibouti","*","*","*","*","*","*","*","*"
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic","*","*","*","*","*",1,"*","*"
"East Timor",4,4,4,4,4,5,3,3
"Ecuador",1,"*","*",1,1,1,1,1
"Egypt","*","*",1,"*",3,1,"*",1
"El Salvador","*","*","*","*","*","*",1,1
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia","*","*",1,"*",1,1,1,2
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
