"Table A5. Foreign Holdings of U.S. Securities, by Country and Broad Security Type, as"
"of June 30, 2023"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Countries and Regions","(LT and ST)","Equities","Total","Treasury","Agency","Corp","ST"
"Afghanistan",855,"*",853,843,0,"*",0
"Albania",743,"*",734,705,"*","*","*"
"Algeria",682,"*","*",0,0,"*",674
"Andorra",2965,1514,1282,601,"*",680,"*"
"Angola",1224,"*",667,619,"*","*","*"
"Anguilla",11552,10908,"*","*","*","*","*"
"Antigua and Barbuda","*","*","*","*","*","*","*"
"Argentina",17800,7417,3863,1969,"*",1882,6520
"Armenia",1208,"*",741,740,"*","*","*"
"Aruba",1545,"*",1170,"*","*",695,"*"
"Australia",571362,473922,83910,43673,6494,33742,13531
"Austria",38706,30886,6814,4473,"*",2160,1006
"Azerbaijan",22590,7024,14727,14364,"*","*",839
"Bahamas",71632,25010,32578,5292,19736,7550,14044
"Bahrain",2111,626,618,600,"*","*",868
"Bangladesh",4586,"*",4361,4360,0,"*","*"
"Barbados",16307,1995,12789,1528,1809,9451,1524
"Belarus","*","*",0,0,0,0,0
"Belgium",979850,85152,822454,259444,11491,551518,72244
"Belize",1834,811,673,"*","*","*","*"
"Benin","*","*",0,0,0,0,0
"Bermuda",364436,130838,188546,42396,22296,123854,45052
"Bhutan","*","*","*","*",0,"*",0
"Bolivia",1261,"*",555,"*","*","*","*"
"Bonaire, Sint Eustatius and Saba","*","*","*",0,0,"*","*"
"Bosnia and Herzegovina","*","*","*",0,0,"*",0
"Botswana",1617,1026,577,"*","*","*","*"
"Brazil",246133,16986,223938,222704,"*",1134,5209
"British Indian Ocean Territory","*","*","*",0,0,"*","*"
"British Virgin Islands",220237,134982,62465,34368,1711,26387,22790
"Brunei",3318,1964,676,"*","*","*",679
"Bulgaria",824,"*","*","*","*","*","*"
"Burkina Faso",18023,"*",0,0,0,0,18017
"Burma","*","*","*","*",0,0,0
"Burundi","*","*",0,0,0,0,"*"
"Cambodia",6589,"*",6498,5728,602,"*","*"
"Cameroon","*","*",0,0,0,0,0
"Canada",2055018,1458399,566714,247866,106278,212570,29906
"Cape Verde","*","*","*","*",0,0,"*"
"Cayman Islands",2365056,1575356,661514,154942,30017,476555,128185
"Chad","*","*",0,0,0,0,0
"Chile",72143,27980,39804,35791,"*",3560,4359
"China, mainland",1432363,309363,1117816,829192,269807,18817,5183
"Colombia",62056,19743,39910,34970,1864,3075,2404
"Comoros","*","*","*","*",0,0,0
"Congo (Brazzaville)","*","*",0,0,0,0,0
"Congo (Kinshasa)","*","*","*","*",0,0,"*"
"Cook Islands","*","*","*","*",0,"*","*"
"Costa Rica",9129,3862,4573,3478,"*",1054,694
"Cote d`Ivoire",1298,1298,0,0,0,0,0
"Croatia",2746,969,1453,1443,"*","*","*"
"Cuba","*","*",0,0,0,0,0
"Curacao",6718,3771,2097,828,"*",1244,850
"Cyprus",5066,4560,"*","*","*","*","*"
"Czech Republic",39865,9359,30439,28597,1741,"*","*"
"Denmark",203581,171374,29594,11252,"*",17964,2613
"Djibouti","*","*",0,0,0,0,0
"Dominica","*","*","*","*","*","*","*"
"Dominican Republic",4920,"*",4054,3719,"*","*","*"
"East Timor",12115,3410,8704,8704,0,0,0
"Ecuador",2272,598,617,"*","*","*",1057
"Egypt",3717,1011,"*","*","*","*",2599
"El Salvador",1694,902,594,"*","*","*","*"
"Equatorial Guinea","*","*","*",0,0,"*",0
"Eritrea","*","*",0,0,0,0,0
"Estonia",2398,1749,544,"*","*","*","*"
"Ethiopia","*","*","*","*",0,"*","*"
"Falkland Islands","*","*",0,0,0,0,0
"Faroe Islands","*","*",0,0,0,0,0
"Federated States of Micronesia","*","*","*","*","*","*","*"
"Fiji","*","*","*",0,"*","*",0
"Finland",67167,54732,11758,6462,0,5296,676
"France",679156,362918,294665,196221,20269,78175,21573
"French Guiana","*","*","*","*",0,"*",0
"French Polynesia","*","*","*","*","*","*","*"
"Gabon","*","*","*","*",0,"*","*"
"Gambia","*","*","*","*",0,0,"*"
"Georgia","*","*","*","*","*","*","*"
"Germany",622862,411672,198203,82690,5468,110045,12987
"Ghana",2090,"*",2037,2026,0,"*","*"
"Gibraltar",1018,"*",511,"*","*","*","*"
"Greece",9070,3752,3265,3015,"*","*",2053
"Grenada","*","*","*","*","*","*","*"
"Guadeloupe","*","*",0,0,0,0,0
"Guatemala",14505,"*",13403,10178,2688,537,669
"Guernsey",78375,58539,17435,6667,"*",10562,2401
"Guinea","*","*",0,0,0,0,0
"Guinea-Bissau","*","*","*","*",0,0,0
"Guyana","*","*","*","*","*","*","*"
"Haiti",1717,"*",1500,"*","*",769,"*"
"Holy See (Vatican)","*","*","*","*",0,"*",0
"Honduras",3953,"*",3661,3561,"*","*","*"
"Hong Kong",433564,167598,236122,169150,7517,59456,29844
"Hungary",4769,1415,3144,558,2487,"*","*"
"Iceland",2820,2107,"*","*",0,"*","*"
"India",248024,12063,233613,232833,"*",623,2348
"Indonesia",26734,2478,22325,9755,10002,2568,1931
"Iran","*","*",0,0,0,0,0
"Iraq",33147,"*",30762,30617,0,"*",2384
"Ireland",1476226,841916,485847,201747,36596,247504,148463
"Isle of Man",4904,3140,1376,1075,"*","*","*"
"Israel",170094,106113,59311,46910,3685,8716,4670
"Italy",126997,63800,60733,44162,722,15850,2464
