,Total,Equities,Total LT Debt,LT Debt Treasury,LT Debt Agency,LT Debt Corp,ST Debt
Afghanistan,854.73,*,852.93,843.14,0.00,*,0.00
Albania,742.94,*,733.83,704.70,*,*,*
Algeria,682.02,*,*,0.00,0.00,*,673.53
Andorra,2965.34,1514.09,1281.71,600.55,*,680.24,*
Angola,1224.22,*,667.31,619.06,*,*,*
Anguilla,11552.40,10908.28,*,*,*,*,*
Antigua and Barbuda,*,*,*,*,*,*,*
Argentina,17799.91,7417.20,3862.77,1968.56,*,1882.21,6519.94
Armenia,1207.91,*,741.31,739.67,*,*,*
Aruba,1545.35,*,1169.67,*,*,695.19,*
Australia ,571362.35,473922.00,83909.83,43673.29,6494.36,33742.19,13530.51
Austria,38706.31,30885.81,6814.49,4472.63,*,2160.48,1006.02
Azerbaijan,22589.87,7024.12,14727.10,14364.15,*,*,838.65
Bahamas,71632.42,25010.32,32577.83,5292.30,19735.85,7549.68,14044.27
Bahrain,2111.32,625.68,618.02,600.43,*,*,867.62
Bangladesh,4586.49,*,4360.69,4360.49,0.00,*,*
Barbados,16307.28,1994.57,12788.74,1528.43,1809.43,9450.88,1523.97
Belarus,*,*,0.00,0.00,0.00,0.00,0.00
Belgium,979850.14,85152.29,822453.62,259444.33,11490.90,551518.39,72244.23
Belize,1833.70,810.92,673.14,*,*,*,*
Benin,*,*,0.00,0.00,0.00,0.00,0.00
Bermuda,364436.35,130838.26,188545.84,42395.67,22296.12,123854.05,45052.25
Bhutan,*,*,*,*,0.00,*,0.00
Bolivia,1260.83,*,555.12,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,*,0.00,0.00,*,*
Bosnia and Herzegovina,*,*,*,0.00,0.00,*,0.00
Botswana,1616.58,1026.03,577.36,*,*,*,*
Brazil,246132.83,16986.38,223937.87,222703.98,*,1133.86,5208.57
British Indian Ocean Territory,*,*,*,0.00,0.00,*,*
British Virgin Islands,220236.59,134981.68,62465.36,34368.31,1710.53,26386.52,22789.56
Brunei,3318.42,1963.62,675.66,*,*,*,679.14
Bulgaria,823.62,*,*,*,*,*,*
Burkina Faso,18022.59,*,0.00,0.00,0.00,0.00,18017.10
Burma,*,*,*,*,0.00,0.00,0.00
Burundi,*,*,0.00,0.00,0.00,0.00,*
Cambodia,6589.46,*,6497.97,5727.93,602.24,*,*
Cameroon,*,*,0.00,0.00,0.00,0.00,0.00
Canada,2055018.52,1458399.10,566713.57,247865.67,106277.50,212570.40,29905.85
Cape Verde,*,*,*,*,0.00,0.00,*
Cayman Islands,2365055.64,1575356.49,661514.29,154941.71,30017.37,476555.22,128184.86
Central African Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chad,*,*,0.00,0.00,0.00,0.00,0.00
Chile,72143.10,27979.85,39803.99,35790.51,*,3560.14,4359.25
"China, mainland",1432362.66,309363.29,1117816.26,829191.90,269807.10,18817.26,5183.11
Colombia,62056.46,19742.96,39909.76,34970.29,1864.46,3075.01,2403.74
Comoros,*,*,*,*,0.00,0.00,0.00
Congo (Brazzaville),*,*,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,*,*,0.00,0.00,*
Cook Islands,*,*,*,*,0.00,*,*
Costa Rica,9128.83,3861.61,4572.90,3477.75,*,1054.06,694.31
Cote d`Ivoire,1298.00,1298.00,0.00,0.00,0.00,0.00,0.00
Croatia,2745.67,968.50,1453.30,1442.57,*,*,*
Cuba,*,*,0.00,0.00,0.00,0.00,0.00
Curacao,6718.07,3770.78,2097.03,828.32,*,1243.86,850.26
Cyprus,5066.28,4560.25,*,*,*,*,*
Czech Republic,39864.61,9358.79,30439.12,28596.57,1740.86,*,*
Denmark,203580.74,171373.55,29593.85,11252.03,*,17964.16,2613.33
Djibouti,*,*,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,*,*,*,*,*
Dominican Republic,4919.99,*,4053.78,3718.54,*,*,*
East Timor,12114.66,3410.36,8704.30,8704.30,0.00,0.00,0.00
Ecuador,2272.07,598.44,617.07,*,*,*,1056.57
Egypt,3716.58,1010.92,*,*,*,*,2598.59
El Salvador,1693.86,901.88,593.53,*,*,*,*
Equatorial Guinea,*,*,*,0.00,0.00,*,0.00
