,LT,Equities,Treasury,Agcy NonABS,Agcy ABS,Corp NonABS,Corp ABS
Afghanistan,854.74,*,843.14,0.00,0.00,*,0.00
Albania,741.08,*,704.70,*,0.00,*,*
Algeria,*,*,0.00,0.00,0.00,*,0.00
Andorra,2795.80,1514.09,600.55,*,0.00,680.05,*
Angola,1073.03,*,619.06,0.00,*,*,0.00
Anguilla,11204.44,10908.28,*,*,0.00,*,*
Antigua and Barbuda,*,*,*,*,*,*,0.00
Argentina,11279.97,7417.20,1968.56,*,*,1881.66,*
Armenia,783.41,*,739.67,*,0.00,*,0.00
Aruba,1480.57,*,*,*,*,*,*
Australia ,557831.83,473922.00,43673.29,*,6340.80,26882.04,6860.15
Austria,37700.30,30885.81,4472.63,*,*,2152.86,*
Azerbaijan,21751.22,7024.12,14364.15,*,*,*,0.00
Bahamas,57588.15,25010.32,5292.30,*,19515.72,7136.39,*
Bahrain,1243.70,625.68,600.43,0.00,*,*,*
Bangladesh,4368.48,*,4360.49,0.00,0.00,*,0.00
Barbados,14783.31,1994.57,1528.43,*,1470.95,6246.55,3204.33
Belarus,*,*,0.00,0.00,0.00,0.00,0.00
Belgium,907605.91,85152.29,259444.33,2592.59,8898.31,540058.19,11460.20
Belize,1484.06,810.92,*,*,*,*,*
Benin,*,*,0.00,0.00,0.00,0.00,0.00
Bermuda,319384.10,130838.26,42395.67,2338.71,19957.41,103234.20,20619.85
Bhutan,*,*,*,0.00,0.00,*,0.00
Bolivia,913.38,*,*,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,0.00,0.00,0.00,*,0.00
Bosnia and Herzegovina,*,*,0.00,0.00,0.00,*,0.00
Botswana,1603.39,1026.03,*,*,*,*,*
Brazil,240924.25,16986.38,222703.98,*,*,1112.57,*
British Indian Ocean Territory,*,*,0.00,0.00,0.00,*,0.00
British Virgin Islands,197447.04,134981.68,34368.31,*,1351.05,24239.82,2146.70
Brunei,2639.28,1963.62,*,*,0.00,*,*
Bulgaria,714.94,*,*,0.00,*,*,0.00
Burkina Faso,*,*,0.00,0.00,0.00,0.00,0.00
Burma,*,*,*,0.00,0.00,0.00,0.00
Burundi,*,*,0.00,0.00,0.00,0.00,0.00
Cambodia,6588.43,*,5727.93,*,586.40,*,0.00
Cameroon,*,*,0.00,0.00,0.00,0.00,0.00
Canada,2025112.67,1458399.10,247865.67,1507.24,104770.25,179922.71,32647.69
Cape Verde,*,*,*,0.00,0.00,0.00,0.00
Cayman Islands,2236870.78,1575356.49,154941.71,4188.76,25828.61,407599.42,68955.79
Central African Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chad,*,*,0.00,0.00,0.00,0.00,0.00
Chile,67783.84,27979.85,35790.51,*,*,3506.50,*
"China, mainland",1427179.55,309363.29,829191.90,6696.46,263110.64,14894.71,3922.55
Colombia,59652.72,19742.96,34970.29,595.13,1269.34,2895.00,*
Comoros,*,*,*,0.00,0.00,0.00,0.00
Congo (Brazzaville),*,*,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,*,0.00,0.00,0.00,0.00
Cook Islands,*,*,*,0.00,0.00,*,*
Costa Rica,8434.51,3861.61,3477.75,*,*,1053.41,*
Cote d`Ivoire,1298.00,1298.00,0.00,0.00,0.00,0.00,0.00
Croatia,2421.80,968.50,1442.57,*,0.00,*,0.00
Cuba,*,*,0.00,0.00,0.00,0.00,0.00
Curacao,5867.81,3770.78,828.32,*,*,1229.92,*
Cyprus,4829.21,4560.25,*,*,*,*,*
Czech Republic,39797.91,9358.79,28596.57,*,1739.22,*,*
Denmark,200967.40,171373.55,11252.03,*,*,17672.36,*
Djibouti,*,*,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,*,*,0.00,*,*
Dominican Republic,4500.39,*,3718.54,*,*,*,*
East Timor,12114.66,3410.36,8704.30,0.00,0.00,0.00,0.00
Ecuador,1215.51,598.44,*,*,*,*,*
Egypt,1118.00,1010.92,*,*,0.00,*,0.00
El Salvador,1495.41,901.88,*,*,*,*,*
Equatorial Guinea,*,*,0.00,0.00,0.00,*,0.00
Eritrea,*,*,0.00,0.00,0.00,0.00,0.00
Estonia,2293.30,1749.01,*,*,0.00,*,0.00
Ethiopia,*,*,*,0.00,0.00,*,0.00
Falkland Islands,*,*,0.00,0.00,0.00,0.00,0.00
Faroe Islands,*,*,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,*,*,*,*,0.00
Fiji,*,*,0.00,*,0.00,*,0.00
Finland,66490.72,54732.29,6462.27,0.00,0.00,5274.08,*
France,657582.82,362918.07,196220.54,*,19821.16,62467.63,15707.60
French Guiana,*,*,*,0.00,0.00,*,0.00
French Polynesia,*,*,*,0.00,*,*,*
Gabon,*,*,*,0.00,0.00,*,0.00
Gambia,*,*,*,0.00,0.00,0.00,0.00
Georgia,*,*,*,*,0.00,*,0.00
Germany,609875.44,411672.42,82690.15,*,5385.25,103604.45,6440.20
Ghana,2053.86,*,2026.39,0.00,0.00,*,0.00
Gibraltar,1001.11,*,*,*,*,*,*
Greece,7016.65,3752.09,3014.70,*,*,*,0.00
Greenland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,*,*,*,*,0.00,*,0.00
Guadeloupe,*,*,0.00,0.00,0.00,0.00,0.00
Guatemala,13835.66,*,10178.24,665.34,2022.58,522.89,*
Guernsey,75974.27,58539.32,6667.02,*,*,10249.84,*
Guinea,*,*,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,*,*,*,0.00,0.00,0.00,0.00
Guyana,*,*,*,*,*,*,*
