,Total Equities,Common Stock,Funds,Preferred and Other
Afghanistan,*,*,*,*
Albania,*,*,*,*
Algeria,*,*,*,*
Andorra,1514.09,1191.55,*,*
Angola,*,*,*,*
Anguilla,10908.28,10429.39,*,*
Antigua and Barbuda,*,*,*,*
Argentina,7417.20,3863.04,3363.86,*
Armenia,*,*,*,0.00
Aruba,*,*,*,*
Australia ,473922.00,336843.30,68714.99,68363.71
Austria,30885.81,27804.07,3027.47,*
Azerbaijan,7024.12,6014.70,846.85,*
Bahamas,25010.32,11236.57,12934.10,839.65
Bahrain,625.68,*,*,*
Bangladesh,*,*,*,0.00
Barbados,1994.57,648.19,1284.42,*
Belarus,*,*,*,*
Belgium,85152.29,72084.94,12779.56,*
Belize,810.92,*,*,*
Benin,*,*,*,*
Bermuda,130838.26,28326.34,93398.63,9113.29
Bhutan,*,*,*,0.00
Bolivia,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,*,*
Bosnia and Herzegovina,*,*,*,0.00
Botswana,1026.03,939.10,*,*
Brazil,16986.38,5683.67,10630.29,672.42
British Indian Ocean Territory,*,*,*,0.00
British Virgin Islands,134981.68,72592.37,52766.80,9622.51
Brunei,1963.62,*,1615.55,*
Bulgaria,*,*,*,*
Burkina Faso,*,*,*,*
Burma,*,*,*,*
Burundi,*,0.00,*,0.00
Cambodia,*,*,*,*
Cameroon,*,*,*,0.00
Canada,1458399.10,1118629.21,287008.07,52761.82
Cape Verde,*,0.00,*,*
Cayman Islands,1575356.49,806862.21,571067.92,197426.36
Central African Republic,0.00,0.00,0.00,0.00
Chad,*,*,*,*
Chile,27979.85,3401.11,22388.14,2190.60
"China, mainland",309363.29,261223.16,39933.83,8206.30
Colombia,19742.96,795.35,18546.05,*
Comoros,*,*,*,0.00
Congo (Brazzaville),*,*,*,0.00
Congo (Kinshasa),*,*,*,*
Cook Islands,*,*,*,*
Costa Rica,3861.61,668.49,3166.61,*
Cote d`Ivoire,1298.00,*,1253.59,0.00
Croatia,968.50,760.02,*,*
Cuba,*,*,*,0.00
Curacao,3770.78,1236.12,2126.59,*
Cyprus,4560.25,3608.79,862.56,*
Czech Republic,9358.79,8289.68,1054.77,*
Denmark,171373.55,138307.46,13689.20,19376.89
Djibouti,*,*,*,0.00
Dominica,*,*,*,*
Dominican Republic,*,*,*,*
East Timor,3410.36,3336.51,*,-0.00
Ecuador,598.44,*,*,*
Egypt,1010.92,717.50,*,*
El Salvador,901.88,*,792.74,*
Equatorial Guinea,*,*,*,0.00
Eritrea,*,*,*,*
Estonia,1749.01,1186.98,555.15,*
Ethiopia,*,*,*,*
Falkland Islands,*,*,*,-0.00
Faroe Islands,*,*,*,0.00
Federated States of Micronesia,*,*,*,*
Fiji,*,*,*,*
Finland,54732.29,30919.26,19060.21,4752.82
France,362918.07,334770.67,26559.44,1587.96
French Guiana,*,*,*,*
French Polynesia,*,*,*,*
Gabon,*,*,*,*
Gambia,*,*,*,0.00
Georgia,*,*,*,*
Germany,411672.42,371001.33,28684.36,11986.73
Ghana,*,*,*,*
Gibraltar,*,*,*,*
Greece,3752.09,2957.63,775.83,*
Greenland,0.00,0.00,0.00,0.00
Grenada,*,*,*,*
Guadeloupe,*,*,*,*
Guatemala,*,*,*,*
Guernsey,58539.32,20851.55,19101.36,18586.41
Guinea,*,0.00,*,0.00
Guinea-Bissau,*,*,*,0.00
Guyana,*,*,*,*
Haiti,*,*,*,*
Holy See (Vatican),*,0.00,*,*
Honduras,*,*,*,*
Hong Kong,167597.84,118437.59,40535.70,8624.55
Hungary,1414.81,*,980.94,*
Iceland,2107.28,610.83,1271.91,*
India,12063.10,10420.87,1624.83,*
Indonesia,2478.16,*,2046.69,*
Iran,*,*,*,0.00
Iraq,*,*,*,0.00
Ireland,841916.26,789136.78,44538.28,8241.20
Isle of Man,3139.58,1989.67,1122.95,*
Israel,106112.97,66861.91,34992.11,4258.95
Italy,63799.81,59230.72,3247.13,1321.96
Jamaica,*,*,*,*
Japan,837009.53,671730.52,159043.33,6235.68
Jersey,23080.23,12168.39,5591.09,5320.75
Jordan,*,*,*,*
Kazakhstan,*,*,*,*
Kenya,*,*,*,*
Kiribati,*,*,*,0.00
"Korea, South",386938.80,236294.19,76368.05,74276.56
Kosovo,*,*,*,-0.01
Kuwait,278601.67,255528.56,17470.98,5602.13
Kyrgyzstan,*,*,*,0.00
Laos,*,*,*,*
Latvia,*,*,*,*
Lebanon,*,*,*,*
Lesotho,*,*,*,0.00
Liberia,747.48,*,*,*
Libya,*,*,*,0.00
Liechtenstein,10788.72,9334.05,1024.96,*
Lithuania,*,*,*,*
Luxembourg,1087613.05,985969.27,71213.19,30430.59
Macau,2594.20,2488.07,*,*
Macedonia,*,*,*,*
Madagascar,*,*,*,*
Malawi,*,*,*,0.00
Malaysia,33563.52,29217.38,2665.80,1680.34
Maldives,*,*,*,*
Mali,*,*,0.00,0.00
Malta,2801.82,1592.86,1139.31,*
Marshall Islands,1452.51,800.67,608.76,*
Martinique,*,*,*,*
Mauritania,*,*,*,0.00
Mauritius,1371.76,772.61,*,*
Mayotte,0.00,0.00,0.00,0.00
Mexico,36294.99,9121.68,26663.19,510.12
Moldova,*,*,*,*
Monaco,2335.98,1533.29,789.96,*
Mongolia,*,*,*,*
Montenegro,*,*,*,0.00
Montserrat,*,*,*,*
Morocco,2835.19,2482.62,*,*
Mozambique,*,*,*,*
Namibia,*,*,*,-0.00
Nauru,*,*,*,0.00
Nepal,*,*,*,*
Netherlands,320107.63,219610.22,75177.12,25320.29
Netherlands Antilles,*,NA,NA,NA
New Caledonia,1157.85,1107.72,*,-0.01
New Zealand,42739.01,32470.91,8110.00,2158.10
Nicaragua,*,*,*,*
Niger,*,*,*,0.00
Nigeria,*,*,*,*
Niue,*,*,*,-0.01
Norway,510703.13,471325.17,39224.25,*
Oman,10184.04,2215.17,7646.45,*
Pakistan,*,*,*,*
Palau,*,*,*,*
Panama,17435.91,9165.78,7622.39,647.74
Papua New Guinea,*,*,*,0.00
Paraguay,*,*,*,*
Peru,5590.92,912.60,3979.01,699.31
Philippines,3565.98,1015.66,2543.86,*
Pitcairn Island,*,*,0.00,0.00
Poland,2191.43,2005.18,*,*
Portugal,9168.10,3962.72,5169.32,*
Qatar,34013.29,27515.57,6264.73,*
Reunion,*,*,0.00,0.00
Romania,*,*,*,*
Russia,1015.08,711.93,*,*
Rwanda,*,*,*,-0.01
Saint Helena,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,6344.02,2037.80,1666.48,2639.74
Saint Lucia,*,*,*,*
Saint Martin and Saint Barthelemy,*,*,*,*
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,*,*,*,*
Samoa,*,*,*,*
San Marino,*,*,*,*
Sao Tome and Principe,*,0.00,*,0.00
Saudi Arabia,184113.77,122547.23,38429.38,23137.16
Senegal,*,*,*,*
Serbia,*,*,*,-0.00
Seychelles,*,*,*,*
Sierra Leone,*,*,*,-0.01
Singapore,408083.19,198568.96,76558.32,132955.91
Sint Maarten,*,*,*,*
Slovakia,*,*,*,*
Slovenia,2500.82,2041.03,*,*
Solomon Islands,0.00,0.00,0.00,0.00
Somalia,*,*,0.00,0.00
South Africa,20312.99,15310.37,4219.21,783.41
South Sudan,0.00,0.00,0.00,0.00
Spain,39598.13,33983.35,5278.22,*
Sri Lanka,*,*,*,*
Sudan,*,*,*,0.00
Suriname,*,*,*,*
Eswatini,*,*,*,*
Sweden,314673.40,289254.94,17144.87,8273.59
Switzerland,682698.61,594543.72,81600.99,6553.90
Syria,*,*,*,*
Taiwan,111893.12,58625.12,50115.12,3152.88
Tajikistan,*,*,*,0.00
Tanzania,*,*,*,*
Thailand,19775.64,8982.92,10100.63,692.09
Togo,*,*,*,0.00
Tokelau,*,*,*,0.00
Tonga,*,*,*,-0.01
Trinidad and Tobago,4469.02,3363.69,1063.83,*
Tunisia,*,*,*,0.00
Turkey,1120.06,688.02,*,*
Turkmenistan,*,*,*,*
Turks and Caicos Isl.,1183.24,*,824.43,*
Tuvalu,0.00,0.00,0.00,0.00
Uganda,*,*,*,*
Ukraine,*,*,*,*
United Arab Emirates,146932.45,90604.25,35399.93,20928.27
United Kingdom,1456901.88,1228647.77,141540.66,86713.45
Uruguay,3476.94,1534.50,1839.10,*
Uzbekistan,*,*,*,*
Vanuatu,*,*,*,*
Venezuela,3091.03,1961.70,992.92,*
Vietnam,*,*,*,*
Wallis and Futuna,*,*,0.00,0.00
West Bank and Gaza,*,*,*,0.00
Western Sahara,*,*,*,-0.01
Yemen,*,*,*,0.00
Zambia,*,*,*,*
Zimbabwe,*,*,*,-0.01
Int. and reg. org.,17291.00,6860.38,9418.52,1012.10
Country Unknown,1284.36,*,*,*
Total Africa,30570.80,21971.31,7400.96,1198.53
Total Asia,3061762.64,2167344.02,603949.45,290469.17
Total Caribbean,1896849.94,937956.02,738655.18,220238.74
Total Europe,6586594.46,5730570.99,625555.42,230468.05
Total Latin America,145814.55,38650.35,101476.42,5687.78
Australia/Oceania,520449.14,371751.04,78106.57,70591.53
Total,13719015.99,10394189.70,2452022.43,872803.86
Holdings of FOI,1554308.80,1279484.74,193315.04,81509.02

