,Total LT ABS,Agency ABS,Corp ABS Total,Corp ABS MBS,Corp ABS NonMBS
Afghanistan,0.00,0.00,0.00,0.00,0.00
Albania,*,0.00,*,*,0.00
Algeria,0.00,0.00,0.00,0.00,0.00
Andorra,*,0.00,*,0.00,*
Angola,*,*,0.00,0.00,0.00
Anguilla,*,0.00,*,0.00,*
Antigua and Barbuda,*,*,0.00,0.00,0.00
Argentina,*,*,*,*,*
Armenia,0.00,0.00,0.00,0.00,0.00
Aruba,*,*,*,*,*
Australia ,13200.95,6340.80,6860.15,5306.64,1553.51
Austria,*,*,*,*,*
Azerbaijan,*,*,0.00,0.00,0.00
Bahamas,19929.01,19515.72,*,*,*
Bahrain,*,*,*,*,*
Bangladesh,0.00,0.00,0.00,0.00,0.00
Barbados,4675.28,1470.95,3204.33,2481.85,722.48
Belarus,0.00,0.00,0.00,0.00,0.00
Belgium,20358.51,8898.31,11460.20,2288.28,9171.92
Belize,*,*,*,0.00,*
Benin,0.00,0.00,0.00,0.00,0.00
Bermuda,40577.26,19957.41,20619.85,13231.25,7388.60
Bhutan,0.00,0.00,0.00,0.00,0.00
Bolivia,*,*,*,0.00,*
"Bonaire, Sint Eustatius and Saba",0.00,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00
Botswana,*,*,*,*,*
Brazil,*,*,*,*,*
British Indian Ocean Territory,0.00,0.00,0.00,0.00,0.00
British Virgin Islands,3497.75,1351.05,2146.70,1174.43,972.27
Brunei,*,0.00,*,*,*
Bulgaria,*,*,0.00,0.00,0.00
Burkina Faso,0.00,0.00,0.00,0.00,0.00
Burma,0.00,0.00,0.00,0.00,0.00
Burundi,0.00,0.00,0.00,0.00,0.00
Cambodia,586.40,586.40,0.00,0.00,0.00
Cameroon,0.00,0.00,0.00,0.00,0.00
Canada,137417.94,104770.25,32647.69,19465.24,13182.45
Cape Verde,0.00,0.00,0.00,0.00,0.00
Cayman Islands,94784.40,25828.61,68955.79,47975.15,20980.64
Central African Republic,0.00,0.00,0.00,0.00,0.00
Chad,0.00,0.00,0.00,0.00,0.00
Chile,*,*,*,*,*
"China, mainland",267033.19,263110.64,3922.55,2747.30,1175.25
Colombia,1449.35,1269.34,*,*,*
Comoros,0.00,0.00,0.00,0.00,0.00
Congo (Brazzaville),0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),0.00,0.00,0.00,0.00,0.00
Cook Islands,*,0.00,*,0.00,*
Costa Rica,*,*,*,0.00,*
Cote d`Ivoire,0.00,0.00,0.00,0.00,0.00
Croatia,0.00,0.00,0.00,0.00,0.00
Cuba,0.00,0.00,0.00,0.00,0.00
Curacao,*,*,*,*,*
Cyprus,*,*,*,0.00,*
Czech Republic,1739.27,1739.22,*,*,0.00
Denmark,627.84,*,*,*,*
Djibouti,0.00,0.00,0.00,0.00,0.00
Dominica,*,0.00,*,0.00,*
Dominican Republic,*,*,*,*,*
East Timor,0.00,0.00,0.00,0.00,0.00
Ecuador,*,*,*,*,*
Egypt,0.00,0.00,0.00,0.00,0.00
El Salvador,*,*,*,*,*
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00
Eritrea,0.00,0.00,0.00,0.00,0.00
Estonia,0.00,0.00,0.00,0.00,0.00
Ethiopia,0.00,0.00,0.00,0.00,0.00
Falkland Islands,0.00,0.00,0.00,0.00,0.00
Faroe Islands,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,0.00,0.00,0.00
Fiji,0.00,0.00,0.00,0.00,0.00
Finland,*,0.00,*,0.00,*
France,35528.76,19821.16,15707.60,10762.80,4944.80
French Guiana,0.00,0.00,0.00,0.00,0.00
French Polynesia,*,*,*,0.00,*
Gabon,0.00,0.00,0.00,0.00,0.00
Gambia,0.00,0.00,0.00,0.00,0.00
Georgia,0.00,0.00,0.00,0.00,0.00
Germany,11825.45,5385.25,6440.20,*,6059.71
Ghana,0.00,0.00,0.00,0.00,0.00
Gibraltar,*,*,*,0.00,*
Greece,*,*,0.00,0.00,0.00
Greenland,0.00,0.00,0.00,0.00,0.00
Grenada,0.00,0.00,0.00,0.00,0.00
Guadeloupe,0.00,0.00,0.00,0.00,0.00
Guatemala,2036.41,2022.58,*,*,*
Guernsey,*,*,*,*,*
Guinea,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,*,*,*
Haiti,*,*,*,*,*
Holy See (Vatican),0.00,0.00,0.00,0.00,0.00
Honduras,*,*,*,*,*
Hong Kong,9601.96,7278.01,2323.95,1457.02,866.93
Hungary,2487.18,2486.70,*,*,0.00
Iceland,0.00,0.00,0.00,0.00,0.00
India,*,*,*,*,*
Indonesia,10091.14,10000.07,*,*,*
Iran,0.00,0.00,0.00,0.00,0.00
Iraq,0.00,0.00,0.00,0.00,0.00
Ireland,64322.00,29831.94,34490.06,29867.79,4622.27
Isle of Man,*,*,0.00,0.00,0.00
Israel,2948.01,2649.97,*,*,*
Italy,764.82,689.56,*,*,*
Jamaica,0.00,0.00,0.00,0.00,0.00
Japan,269656.69,251563.53,18093.16,6473.55,11619.61
Jersey,657.12,*,*,*,*
Jordan,0.00,0.00,0.00,0.00,0.00
Kazakhstan,0.00,0.00,0.00,0.00,0.00
Kenya,0.00,0.00,0.00,0.00,0.00
Kiribati,0.00,0.00,0.00,0.00,0.00
"Korea, South",37224.07,33925.78,3298.29,2640.17,658.12
Kosovo,0.00,0.00,0.00,0.00,0.00
Kuwait,6127.81,3473.85,2653.96,1587.02,1066.94
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00
Laos,0.00,0.00,0.00,0.00,0.00
Latvia,4073.21,3732.14,*,*,*
Lebanon,*,*,0.00,0.00,0.00
Lesotho,0.00,0.00,0.00,0.00,0.00
Liberia,0.00,0.00,0.00,0.00,0.00
Libya,0.00,0.00,0.00,0.00,0.00
Liechtenstein,*,*,*,*,*
Lithuania,*,*,0.00,0.00,0.00
Luxembourg,55085.48,35841.79,19243.69,9631.54,9612.15
Macau,584.98,*,*,*,*
Macedonia,0.00,0.00,0.00,0.00,0.00
Madagascar,0.00,0.00,0.00,0.00,0.00
Malawi,0.00,0.00,0.00,0.00,0.00
Malaysia,17003.17,17001.21,*,*,*
Maldives,0.00,0.00,0.00,0.00,0.00
Mali,0.00,0.00,0.00,0.00,0.00
Malta,*,*,*,0.00,*
Marshall Islands,*,*,*,*,*
Martinique,0.00,0.00,0.00,0.00,0.00
Mauritania,0.00,0.00,0.00,0.00,0.00
Mauritius,*,*,0.00,0.00,0.00
Mayotte,0.00,0.00,0.00,0.00,0.00
Mexico,8952.98,8713.24,*,*,*
Moldova,0.00,0.00,0.00,0.00,0.00
Monaco,*,0.00,*,*,*
Mongolia,0.00,0.00,0.00,0.00,0.00
Montenegro,0.00,0.00,0.00,0.00,0.00
Montserrat,0.00,0.00,0.00,0.00,0.00
Morocco,0.00,0.00,0.00,0.00,0.00
Mozambique,0.00,0.00,0.00,0.00,0.00
Namibia,*,*,*,*,*
Nauru,0.00,0.00,0.00,0.00,0.00
Nepal,0.00,0.00,0.00,0.00,0.00
Netherlands,16616.88,15656.06,960.82,*,673.41
Netherlands Antilles,NA,NA,NA,NA,NA
New Caledonia,0.00,0.00,0.00,0.00,0.00
New Zealand,811.99,630.06,*,*,*
Nicaragua,*,0.00,*,0.00,*
Niger,0.00,0.00,0.00,0.00,0.00
Nigeria,*,*,*,*,*
Niue,0.00,0.00,0.00,0.00,0.00
Norway,*,*,*,*,*
Oman,*,*,*,*,*
Pakistan,*,*,0.00,0.00,0.00
Palau,*,*,*,0.00,*
Panama,1139.57,743.92,*,*,*
Papua New Guinea,0.00,0.00,0.00,0.00,0.00
Paraguay,0.00,0.00,0.00,0.00,0.00
Peru,*,*,*,*,*
Philippines,*,*,*,*,0.00
Pitcairn Island,0.00,0.00,0.00,0.00,0.00
Poland,*,*,0.00,0.00,0.00
Portugal,*,*,*,*,*
Qatar,*,*,*,*,*
Reunion,0.00,0.00,0.00,0.00,0.00
Romania,*,0.00,*,0.00,*
Russia,0.00,0.00,0.00,0.00,0.00
Rwanda,0.00,0.00,0.00,0.00,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,*,*,*,*,*
Saint Lucia,0.00,0.00,0.00,0.00,0.00
Saint Martin and Saint Barthelemy,0.00,0.00,0.00,0.00,0.00
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,0.00,0.00,0.00,0.00,0.00
Samoa,0.00,0.00,0.00,0.00,0.00
San Marino,0.00,0.00,0.00,0.00,0.00
Sao Tome and Principe,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,3692.19,3024.50,667.69,*,*
Senegal,0.00,0.00,0.00,0.00,0.00
Serbia,*,0.00,*,0.00,*
Seychelles,*,*,*,0.00,*
Sierra Leone,0.00,0.00,0.00,0.00,0.00
Singapore,23684.06,6994.37,16689.69,6963.63,9726.06
Sint Maarten,*,*,0.00,0.00,0.00
Slovakia,*,0.00,*,0.00,*
Slovenia,0.00,0.00,0.00,0.00,0.00
Solomon Islands,0.00,0.00,0.00,0.00,0.00
Somalia,0.00,0.00,0.00,0.00,0.00
South Africa,894.00,818.48,*,0.00,*
South Sudan,0.00,0.00,0.00,0.00,0.00
Spain,5698.23,5329.02,*,*,*
Sri Lanka,0.00,0.00,0.00,0.00,0.00
Sudan,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,*,0.00,*
Eswatini,0.00,0.00,0.00,0.00,0.00
Sweden,*,*,*,*,*
Switzerland,9608.97,7104.54,2504.43,1630.76,873.67
Syria,0.00,0.00,0.00,0.00,0.00
Taiwan,210459.73,207854.41,2605.32,2121.40,*
Tajikistan,0.00,0.00,0.00,0.00,0.00
Tanzania,*,0.00,*,0.00,*
Thailand,13442.62,13436.58,*,*,*
Togo,0.00,0.00,0.00,0.00,0.00
Tokelau,0.00,0.00,0.00,0.00,0.00
Tonga,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,1221.39,691.71,529.68,*,*
Tunisia,0.00,0.00,0.00,0.00,0.00
Turkey,0.00,0.00,0.00,0.00,0.00
Turkmenistan,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,*,*,*,*,*
Tuvalu,0.00,0.00,0.00,0.00,0.00
Uganda,*,*,*,*,*
Ukraine,0.00,0.00,0.00,0.00,0.00
United Arab Emirates,3346.33,2705.32,641.01,*,*
United Kingdom,97672.60,52488.55,45184.05,19097.60,26086.45
Uruguay,*,*,*,*,*
Uzbekistan,0.00,0.00,0.00,0.00,0.00
Vanuatu,0.00,0.00,0.00,0.00,0.00
Venezuela,*,*,*,*,*
Vietnam,*,*,0.00,0.00,0.00
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,0.00,0.00,0.00,0.00,0.00
Western Sahara,0.00,0.00,0.00,0.00,0.00
Yemen,0.00,0.00,0.00,0.00,0.00
Zambia,0.00,0.00,0.00,0.00,0.00
Zimbabwe,0.00,0.00,0.00,0.00,0.00
Int. and reg. org.,8411.16,5156.26,3254.90,*,2889.67
Country Unknown,*,*,*,0.00,*
Total Africa,1333.53,1169.13,*,*,*
Total Asia,876480.14,824888.36,51591.78,24957.93,26633.85
Total Caribbean,165240.34,69032.97,96207.37,65343.44,30863.93
Total Europe,328936.09,190578.17,138357.92,75046.54,63311.38
Total Latin America,14864.19,13941.47,922.72,*,588.48
Australia/Oceania,14073.52,7006.84,7066.68,5447.59,1619.09
Total,1547175.80,1216549.29,330626.51,191031.95,139594.56
Holdings of FOI,660555.25,638957.53,21597.72,10238.86,11358.86

