                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as
of June 30, 2023
 Millions of dollars
                                                                                                               of which: Commercial Paper
                                                                                                 Total                        Asset-backed
 Countries and Regions                         Total ST         Treasury         Agency        Corporate        Total CP           CP
  Albania                                                   *               *               0               0               0               0
  Algeria                                                 674             674               0               0               0               0
  Andorra                                                   *               *               *               *               0               0
  Angola                                                    *               *               0               0               0               0
  Anguilla                                                  *               *               0               *               0               0
  Antigua and Barbuda                                       *               *               *               *               0               0
  Argentina                                              6520            6475               *               *               *               0
  Armenia                                                   *               *               0               *               0               0
  Aruba                                                     *               *               0               *               0               0
  Australia                                             13531           12299               *            1044               *               0
  Austria                                                1006            1005               0               *               0               0
  Azerbaijan                                              839             839               0               *               0               0
  Bahamas                                               14044           13460               *             582               *               0
  Bahrain                                                 868             868               0               0               0               0
  Bangladesh                                                *               *               0               *               0               0
  Barbados                                               1524            1498               0               *               *               0
  Belgium                                               72244           70692               *            1542               *               0
  Belize                                                    *               *               0               *               0               0
  Bermuda                                               45052           41546            1667            1839            1571               0
  Bolivia                                                   *               *               0               *               0               0
  Bonaire, Sint Eustatius and Saba                          *               *               0               0               0               0
  Botswana                                                  *               *               0               *               0               0
  Brazil                                                 5209            4826               *               *               *               0
  British Indian Ocean Territory                            *               *               0               0               0               0
  British Virgin Islands                                22790           21999               *             719               *               0
  Brunei                                                  679             679               *               0               0               0
  Bulgaria                                                  *               *               0               *               0               0
  Burkina Faso                                          18017           18017               0               0               0               0
  Burundi                                                   *               0               0               *               0               0
  Cambodia                                                  *               *               0               0               0               0
  Canada                                                29906           25959             959            2988            2302               0
  Cape Verde                                                *               *               0               0               0               0
  Cayman Islands                                       128185          118806            1436            7943            4268               0
  Chile                                                  4359            3965               *               *               *               0
  China, mainland                                        5183            4895               *               *               *               0
  Colombia                                               2404            2263               *               *               *               0
  Congo (Kinshasa)                                          *               *               0               0               0               0
  Cook Islands                                              *               *               0               *               0               0
  Costa Rica                                              694             656               *               *               *               0
  Croatia                                                   *               *               *               *               0               0
  Curacao                                                 850             842               *               *               *               0
  Cyprus                                                    *               *               0               *               0               0
  Czech Republic                                            *               *               0               *               0               0
  Denmark                                                2613            2412               *               *               *               0
  Dominica                                                  *               *               0               0               0               0
  Dominican Republic                                        *               *               *               *               *               0
  Ecuador                                                1057            1040               0               *               *               0
  Egypt                                                  2599            2597               *               *               0               0
  El Salvador                                               *               *               *               *               0               0
  Estonia                                                   *               *               0               0               0               0
  Ethiopia                                                  *               0               0               *               0               0
  Federated States of Micronesia                            *               *               0               *               0               0
  Finland                                                 676             676               0               *               0               0
  France                                                21573           19756               *            1796            1642               0
  French Polynesia                                          *               *               0               *               0               0
  Gabon                                                     *               *               0               *               0               0
  Gambia                                                    *               *               0               0               0               0
  Georgia                                                   *               *               0               *               0               0
  Germany                                               12987           12403               *               *               *               0
  Ghana                                                     *               *               0               0               0               0
  Gibraltar                                                 *               *               0               *               0               0
  Greece                                                 2053            2045               *               *               *               0
  Grenada                                                   *               *               0               0               0               0
  Guatemala                                               669             514               *               *               *               0
  Guernsey                                               2401            2238               *               *               *               0
  Guyana                                                    *               *               0               0               0               0
  Haiti                                                     *               *               0               *               0               0
  Honduras                                                  *               *               0               *               *               0
  Hong Kong                                             29844           29745               *               *               *               0
  Hungary                                                   *               *               *               *               0               0
  Iceland                                                   *               *               *               *               0               0
  India                                                  2348            2274               *               *               0               0
  Indonesia                                              1931            1364               *             567               *               0
  Iraq                                                   2384            2384               0               0               0               0
  Ireland                                              148463           74696            4295           69472           31026               0
  Isle of Man                                               *               *               *               *               *               0
  Israel                                                 4670            3552               *             732               *               0
  Italy                                                  2464            2447               *               *               *               0
  Jamaica                                                   *               *               *               *               0               0
