"Table A12.  Maturity Structure of Foreign-Held U.S. Long-Term Debt, as"
"of June 30, 2023"
"Millions of dollars, parts may not sum to total as some bonds have unknown maturities."
""
""
"","June","June","June","June","June","June","June"
"",2017,2018,2019,2020,2021,2022,2023
""
"Total",10291629,10281629,10991368,11558608,12407260,11591332,11967296
"1 year or less",1001749,874627,1061384,975488,1016439,1000700,1116992
"1 to 2 years",1266709,1299466,1300601,1300539,1281832,1315275,1376209
"2 to 3 years",1147542,1147984,1125074,1104093,1212459,1118716,1213194
"3 to 4 years",945091,963760,971271,987387,1106197,999730,997447
"4 to 5 years",948867,951277,943160,1118570,1134974,991083,1117579
"5 to 6 years",683485,646092,742523,756642,744409,756459,813834
"6 to 7 years",614292,650716,678825,688393,806099,797958,632868
"7 to 8 years",443776,430920,473208,445445,524684,460204,454496
"8 to 9 years",397934,411628,390475,431005,460948,482369,455314
"9 to 10 years",393373,334345,405461,468306,534464,451186,431164
"10 to 15 years",275774,265979,268831,318997,356517,356017,392452
"15 to 20 years",321667,357849,378771,453838,605957,586641,658508
"20 to 25 years",494837,526223,636570,726895,681749,573007,562542
"25 to 30 years",1213751,1261083,1443689,1598668,1721935,1512255,1552490
"30+ years",117003,119027,128430,167693,197669,169503,176312
""
"Total FOI",4259968,4385782,4678973,4649079,4759428,4409100,4368208
"1 year or less",483439,408826,511620,448412,486976,461012,472979
"1 to 2 years",704490,732516,689495,702101,594754,613863,594892
"2 to 3 years",627433,617013,593020,520781,644677,488342,515389
"3 to 4 years",459534,463923,437778,495182,515489,407814,386068
"4 to 5 years",414474,416811,464154,502122,488818,383006,440210
"5 to 6 years",300306,287304,327350,332810,258318,314497,322799
"6 to 7 years",278863,272812,304416,245645,325915,329372,195847
"7 to 8 years",151898,142950,144936,153616,144671,130536,172915
"8 to 9 years",139579,129209,151752,147223,119169,180578,191801
"9 to 10 years",102915,115542,141607,125844,184614,173871,152148
"10 to 15 years",39690,32544,26840,26012,28352,31337,37108
"15 to 20 years",25604,35790,38344,55989,141986,177338,201505
"20 to 25 years",189557,227180,280542,307826,234062,173858,166178
"25 to 30 years",402362,543358,603449,632453,636037,606840,599939
"30+ years",7028,6741,8926,13412,16157,9280,8288
""
"Total Private",6031660,5895847,6312395,6909529,7647833,7182232,7599088
"1 year or less",518310,465801,549764,527077,529463,539688,644014
"1 to 2 years",562220,566950,611106,598438,687079,701412,781318
"2 to 3 years",520109,530972,532054,583312,567782,630375,697805
"3 to 4 years",485557,499837,533493,492204,590708,591916,611379
"4 to 5 years",534394,534466,479007,616448,646156,608077,677369
"5 to 6 years",383179,358788,415173,423833,486091,441962,491035
"6 to 7 years",335429,377904,374409,442748,480184,468585,437021
"7 to 8 years",291878,287970,328273,291828,380012,329668,281582
"8 to 9 years",258355,282418,238723,283782,341780,301791,263513
"9 to 10 years",290458,218803,263854,342462,349850,277314,279016
"10 to 15 years",236085,233435,241991,292985,328165,324680,355344
"15 to 20 years",296063,322059,340426,397849,463972,409303,457003
"20 to 25 years",305280,299043,356028,419069,447687,399149,396364
"25 to 30 years",811389,717725,840240,966215,1085897,905415,952550
"30+ years",109975,112286,119503,154281,181512,160223,168024
""
""
""
""
""
""
"Table A12.  Maturity Structure of Foreign-Held","U.S. Long-Term D","ebt, as"
"of June 30, 2023"
"Millions of dollars, parts may not sum to tot","al as some bonds","have unknown matu","rities."
""
""
"","June","June","June","June","June","June","June"
"",2017,2018,2019,2020,2021,2022,2023
""
"U.S. Treasuries",5467555,5466965,5903163,6005341,6574107,6481669,6638763
"1 year or less",708328,635955,783058,714992,760253,767756,863685
"1 to 2 years",966114,977509,965902,977382,967442,1028470,1018223
"2 to 3 years",774905,783486,750306,737150,897915,757889,808610
"3 to 4 years",592902,595503,598017,666937,696412,628514,616076
"4 to 5 years",559670,567461,616492,690880,706843,620416,735836
"5 to 6 years",375045,382022,447197,444577,381395,470352,506650
"6 to 7 years",373793,375340,410951,363034,502030,529243,334208
"7 to 8 years",219846,205717,213538,223490,243218,201578,261511
"8 to 9 years",215143,202923,230703,244918,191922,308242,298731
"9 to 10 years",181909,187599,244377,209594,325334,302024,278725
"10 to 15 years",61767,46207,22320,12828,18406,23704,24303
"15 to 20 years",16967,27474,36646,68198,219868,293839,369391
"20 to 25 years",165098,181651,258135,298498,273001,207459,198909
"25 to 30 years",256038,279841,301848,352827,390051,342163,323247
"30+ years",0,0,0,0,0,0,0
""
"U.S. Treasuries FOI",3662609,3650929,3852190,3762958,3940118,3606799,3543978
"1 year or less",451401,385151,481786,427987,470713,449351,458033
"1 to 2 years",677703,704124,665996,677397,578884,594275,570120
"2 to 3 years",597309,594896,564943,498965,623725,464997,491804
"3 to 4 years",441514,444311,419588,477295,495741,388814,366550
"4 to 5 years",391749,398152,446245,475538,469454,363706,420839
"5 to 6 years",285368,275395,313151,317278,241808,299914,308286
"6 to 7 years",265970,259919,292001,228983,312143,317694,179927
"7 to 8 years",140455,133306,133351,142748,133688,116612,161928
"8 to 9 years",129060,119333,143259,136335,104364,170741,181981
"9 to 10 years",89451,105891,131609,106702,172075,163962,141357
"10 to 15 years",25291,19747,8506,2136,2570,4362,5947
"15 to 20 years",4977,12373,13133,23331,107066,141745,158506
"20 to 25 years",116122,117439,157614,163988,120926,72617,69130
"25 to 30 years",93651,109539,109836,129509,149116,107207,92080
"30+ years",0,0,0,0,0,0,0
""
"U.S. Treasuries Private",1804946,1816036,2050972,2242383,2633989,2874870,3094784
"1 year or less",256927,250804,301272,287005,289539,318405,405652
"1 to 2 years",288411,273386,299905,299985,388558,434195,448104
"2 to 3 years",177597,188590,185362,238185,274190,292891,316806
"3 to 4 years",151388,151192,178428,189642,200671,239700,249526
"4 to 5 years",167921,169309,170247,215342,237389,256710,314997
"5 to 6 years",89677,106627,134046,127300,139587,170438,198364
"6 to 7 years",107823,115421,118950,134051,189887,211549,154281
"7 to 8 years",79392,72410,80187,80742,109530,84966,99583
"8 to 9 years",86082,83590,87444,108583,87558,137501,116750
"9 to 10 years",92458,81708,112768,102893,153259,138062,137369
"10 to 15 years",36476,26459,13814,10693,15836,19342,18356
"15 to 20 years",11990,15101,23514,44867,112802,152094,210885
"20 to 25 years",48976,64212,100521,134510,152075,134842,129779
"25 to 30 years",162387,170302,192012,223317,240935,234956,231167
"30+ years",0,0,0,0,0,0,0
""
""
""
""
""
""
"Table A12.  Maturity Structure of Foreign-Held","U.S. Long-Term D","ebt, as"
"of June 30, 2023"
"Millions of dollars, parts may not sum to tot","al as some bonds","have unknown matu","rities."
""
""
"","June","June","June","June","June","June","June"
"",2017,2018,2019,2020,2021,2022,2023
""
"Agencies",980212,1024200,1144971,1222537,1252339,1193689,1269623
"1 year or less",26755,15655,20156,11731,13275,9342,14771
"1 to 2 years",20762,22313,13643,16232,9091,10118,14609
"2 to 3 years",18192,12293,13058,7895,9819,9871,10408
"3 to 4 years",6852,9648,4308,4876,7765,8893,8247
"4 to 5 years",9691,5986,4842,11283,9333,10882,6102
"5 to 6 years",4131,3714,7055,4514,8235,7148,7370
"6 to 7 years",4268,7344,3352,7596,6808,11513,7719
"7 to 8 years",8388,3525,4412,5412,8644,8345,6428
"8 to 9 years",4793,5625,6010,9401,11815,8591,10021
"9 to 10 years",8351,5199,10337,11878,10051,9709,11071
"10 to 15 years",43540,40198,41670,37543,41104,39491,37180
"15 to 20 years",33765,33088,33418,40741,51364,54521,62238
"20 to 25 years",133945,171532,180265,195499,157404,151793,141120
"25 to 30 years",643364,672915,782492,830726,869983,829535,910182
"30+ years",12287,14363,19952,27209,37629,23897,22147
""
"Agencies FOI",426493,578997,658185,686071,648378,649191,656711
"1 year or less",14097,7492,10998,4857,7611,3886,4744
"1 to 2 years",10722,12700,5960,9219,4109,6055,7401
"2 to 3 years",10756,4831,8816,4113,4862,3751,4157
"3 to 4 years",2393,4468,1984,1768,2653,3332,1921
"4 to 5 years",4509,2192,1841,5094,3191,2428,1469
"5 to 6 years",1367,800,1230,866,1661,1469,1880
"6 to 7 years",1086,1185,937,2345,1584,1959,1943
"7 to 8 years",1433,873,988,1511,1491,1879,1287
"8 to 9 years",1212,1122,1014,2005,2255,1642,2540
"9 to 10 years",1607,907,1468,2009,1683,2013,1531
"10 to 15 years",8667,7264,11278,14021,16064,17364,17894
"15 to 20 years",13391,15729,17197,21411,24861,26574,32488
"20 to 25 years",66356,104067,117711,137069,106482,96436,91517
"25 to 30 years",294084,421144,478928,480586,469698,486431,494155
"30+ years",2152,1960,1854,4159,8183,2844,2618
""
"Agencies Private",553719,445203,486786,536467,603961,544497,612912
"1 year or less",12658,8163,9158,6874,5664,5455,10027
"1 to 2 years",10040,9614,7683,7014,4983,4063,7208
"2 to 3 years",7437,7462,4241,3782,4957,6121,6250
"3 to 4 years",4459,5180,2323,3108,5112,5561,6326
"4 to 5 years",5182,3795,3000,6189,6142,8454,4633
"5 to 6 years",2764,2914,5825,3648,6574,5678,5490
"6 to 7 years",3181,6159,2415,5251,5224,9554,5777
"7 to 8 years",6954,2652,3424,3901,7153,6465,5141
"8 to 9 years",3581,4503,4996,7397,9560,6949,7481
"9 to 10 years",6744,4292,8869,9869,8368,7695,9540
"10 to 15 years",34872,32934,30393,23523,25040,22126,19285
"15 to 20 years",20374,17359,16222,19330,26503,27947,29750
"20 to 25 years",67589,67466,62554,58430,50922,55358,49603
"25 to 30 years",349280,251771,303563,350139,400285,343104,416027
"30+ years",10135,12403,18098,23051,29445,21053,19528
""
""
""
""
""
""
"Table A12.  Maturity Structure of Foreign-Held","U.S. Long-Term D","ebt, as"
"of June 30, 2023"
"Millions of dollars, parts may not sum to tot","al as some bonds","have unknown matu","rities."
""
""
"","June","June","June","June","June","June","June"
"",2017,2018,2019,2020,2021,2022,2023
""
"Corporate",3843861,3790465,3943234,4330730,4580814,3915974,4058910
"1 year or less",266666,223017,258170,248765,242911,223602,238536
"1 to 2 years",279834,299644,321056,306924,305299,276687,343377
"2 to 3 years",354445,352206,361711,359048,304725,350957,394176
"3 to 4 years",345338,358610,368947,315574,402019,362323,373124
"4 to 5 years",379506,377830,321827,416408,418798,359785,375641
"5 to 6 years",304310,260357,288271,307551,354779,278959,299815
"6 to 7 years",236231,268032,264522,317763,297261,257202,290941
"7 to 8 years",215542,221679,255258,216543,272822,250281,186557
"8 to 9 years",177998,203080,153762,176686,257211,165535,146561
"9 to 10 years",203113,141547,150746,246833,199079,139453,141368
"10 to 15 years",170468,179574,204841,268625,297008,292822,330969
"15 to 20 years",270935,297287,308706,344899,334726,238280,226879
"20 to 25 years",195794,173040,198170,232898,251344,213754,222514
"25 to 30 years",314348,308326,359350,415116,461900,340557,319061
