"Title","BoP: IIP: Liabs: Overseas holdings of BGS: total: CP NSA: £m"
"CDID","HEWD"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","30-06-2026"
"Next release","30 September 2026"
"Important notes",
"1966","1840"
"1967","1825"
"1968","1750"
"1969","1835"
"1970","1885"
"1971","2305"
"1972","2260"
"1973","2080"
"1974","1815"
"1975","2075"
"1976","2195"
"1977","3342"
"1978","2817"
"1979","3715"
"1980","5265"
"1981","5286"
"1982","7190"
"1983","7886"
"1984","8704"
"1985","11572"
"1986","13743"
"1987","18118"
"1988","18827"
"1989","16142"
"1990","16163"
"1991","22701"
"1992","28813"
"1993","48724"
"1994","44192"
"1995","45871"
"1996","53492"
"1997","57956"
"1998","68817"
"1999","56213"
"2000","55905"
"2001","56516"
"2002","55500"
"2003","64501"
"2004","82277"
"2005","109017"
"2006","133971"
"2007","158665"
"2008","203630"
"2009","224284"
"2010","309171"
"2011","388647"
"2012","416966"
"2013","413104"
"2014","399652"
"2015","448769"
"2016","523877"
"2017","541204"
"2018","551557"
"2019","620137"
"2020","708241"
"2021","740997"
"2022","587072"
"2023","634619"
"2024","697025"
"2025","737355"
"1966 Q4","1840"
"1967 Q1","1835"
"1967 Q2","1822"
"1967 Q3","1833"
"1967 Q4","1825"
"1968 Q1","1818"
"1968 Q2","1712"
"1968 Q3","1738"
"1968 Q4","1750"
"1969 Q1","1728"
"1969 Q2","1766"
"1969 Q3","1780"
"1969 Q4","1835"
"1970 Q1","1861"
"1970 Q2","1894"
"1970 Q3","1896"
"1970 Q4","1885"
"1971 Q1","2066"
"1971 Q2","2177"
"1971 Q3","2212"
"1971 Q4","2305"
"1972 Q1","2384"
"1972 Q2","2339"
"1972 Q3","2263"
"1972 Q4","2260"
"1973 Q1","2194"
"1973 Q2","2224"
"1973 Q3","2120"
"1973 Q4","2080"
"1974 Q1","2075"
"1974 Q2","1859"
"1974 Q3","1748"
"1974 Q4","1815"
"1975 Q1","1918"
"1975 Q2","1977"
"1975 Q3","1924"
"1975 Q4","2075"
"1976 Q1","2062"
"1976 Q2","2061"
"1976 Q3","2093"
"1976 Q4","2195"
"1977 Q1","2566"
"1977 Q2","2479"
"1977 Q3","2910"
"1977 Q4","3342"
"1978 Q1","3187"
"1978 Q2","2967"
"1978 Q3","2932"
"1978 Q4","2817"
"1979 Q1","3098"
"1979 Q2","3008"
"1979 Q3","3662"
"1979 Q4","3715"
"1980 Q1","3666"
"1980 Q2","4935"
"1980 Q3","5443"
"1980 Q4","5265"
"1981 Q1","5414"
"1981 Q2","5139"
"1981 Q3","4813"
"1981 Q4","5286"
"1982 Q1","5681"
"1982 Q2","5800"
"1982 Q3","6383"
"1982 Q4","7190"
"1983 Q1","7170"
"1983 Q2","7804"
"1983 Q3","7902"
"1983 Q4","7886"
"1984 Q1","8268"
"1984 Q2","7836"
"1984 Q3","8308"
"1984 Q4","8704"
"1985 Q1","9310"
"1985 Q2","10594"
"1985 Q3","11143"
"1985 Q4","11572"
"1986 Q1","12649"
"1986 Q2","13240"
"1986 Q3","12503"
"1986 Q4","13743"
"1987 Q1","15272"
"1987 Q2","16267"
"1987 Q3","17496"
"1987 Q4","18118"
"1988 Q1","19178"
"1988 Q2","19052"
"1988 Q3","19083"
"1988 Q4","18827"
"1989 Q1","18479"
"1989 Q2","16914"
"1989 Q3","17357"
"1989 Q4","16142"
"1990 Q1","14169"
"1990 Q2","15357"
"1990 Q3","15192"
"1990 Q4","16163"
"1991 Q1","18555"
"1991 Q2","19875"
"1991 Q3","21457"
"1991 Q4","22701"
"1992 Q1","26188"
"1992 Q2","29657"
"1992 Q3","27838"
"1992 Q4","28813"
"1993 Q1","31202"
"1993 Q2","35087"
"1993 Q3","42711"
"1993 Q4","48724"
"1994 Q1","45953"
"1994 Q2","43368"
"1994 Q3","43722"
"1994 Q4","44192"
"1995 Q1","40895"
"1995 Q2","42562"
"1995 Q3","44306"
"1995 Q4","45871"
"1996 Q1","47190"
"1996 Q2","49786"
"1996 Q3","51212"
"1996 Q4","53492"
"1997 Q1","54832"
"1997 Q2","56999"
"1997 Q3","56006"
"1997 Q4","57956"
"1998 Q1","62317"
"1998 Q2","61173"
"1998 Q3","65019"
"1998 Q4","68817"
"1999 Q1","66813"
"1999 Q2","64431"
"1999 Q3","55973"
"1999 Q4","56213"
"2000 Q1","56496"
"2000 Q2","52745"
"2000 Q3","53566"
"2000 Q4","55905"
"2001 Q1","51430"
"2001 Q2","54680"
"2001 Q3","55601"
"2001 Q4","56516"
"2002 Q1","52792"
"2002 Q2","53369"
"2002 Q3","53524"
"2002 Q4","55500"
"2003 Q1","57448"
"2003 Q2","60574"
"2003 Q3","60059"
"2003 Q4","64501"
"2004 Q1","67780"
"2004 Q2","72177"
"2004 Q3","76994"
"2004 Q4","82277"
"2005 Q1","86899"
"2005 Q2","92502"
"2005 Q3","103503"
"2005 Q4","109017"
"2006 Q1","113127"
"2006 Q2","114238"
"2006 Q3","124533"
"2006 Q4","133971"
"2007 Q1","132296"
"2007 Q2","144427"
"2007 Q3","148438"
"2007 Q4","158665"
"2008 Q1","160569"
"2008 Q2","166462"
"2008 Q3","191071"
"2008 Q4","203630"
"2009 Q1","215905"
"2009 Q2","207535"
"2009 Q3","216918"
"2009 Q4","224284"
"2010 Q1","243584"
"2010 Q2","274454"
"2010 Q3","302587"
"2010 Q4","309171"
"2011 Q1","301540"
"2011 Q2","323455"
"2011 Q3","354676"
"2011 Q4","388647"
"2012 Q1","380342"
"2012 Q2","385136"
"2012 Q3","398313"
"2012 Q4","416966"
"2013 Q1","432186"
"2013 Q2","414267"
"2013 Q3","393937"
"2013 Q4","413104"
"2014 Q1","409997"
"2014 Q2","414373"
"2014 Q3","418292"
"2014 Q4","399652"
"2015 Q1","418900"
"2015 Q2","412506"
"2015 Q3","426918"
"2015 Q4","448769"
"2016 Q1","462112"
"2016 Q2","503117"
"2016 Q3","520826"
"2016 Q4","523877"
"2017 Q1","520597"
"2017 Q2","522729"
"2017 Q3","522481"
"2017 Q4","541204"
"2018 Q1","535995"
"2018 Q2","535681"
"2018 Q3","524787"
"2018 Q4","551557"
"2019 Q1","556491"
"2019 Q2","579997"
"2019 Q3","614737"
"2019 Q4","620137"
"2020 Q1","648868"
"2020 Q2","661884"
"2020 Q3","658929"
"2020 Q4","708241"
"2021 Q1","666346"
"2021 Q2","703651"
"2021 Q3","707806"
"2021 Q4","740997"
"2022 Q1","716688"
"2022 Q2","676313"
"2022 Q3","565030"
