DATAFLOW,MEASURE,DATA_ITEM,SECTOR,MATURITY,INDUSTRY,CURRENCY,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2026-Q1,22840,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2025-Q4,14683,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2014-Q2,10153,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2014-Q1,10682,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2013-Q4,12180,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2013-Q3,15177,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2013-Q2,-2776,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2013-Q1,2156,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2017-Q4,11638,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2017-Q3,10166,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2017-Q2,-445,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2017-Q1,13997,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2016-Q4,2632,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2016-Q3,5119,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2016-Q2,-2138,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2016-Q1,1151,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2015-Q4,5053,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2015-Q3,11962,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2015-Q2,1433,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2015-Q1,11528,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2014-Q4,8648,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2014-Q3,7971,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2025-Q3,34586,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2025-Q2,-8570,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2025-Q1,12471,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2024-Q4,759,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2024-Q3,-84,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2024-Q2,-17291,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2024-Q1,12220,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2023-Q4,17735,AUD,6,,
ABS:IIP(1.0.0),2,653B,3000999,TOT,T,700,10,Q,2023-Q3,6168,AUD,6,,
